Gene	OQ1	OQ2	OQ3	OQ4	OW1	OW2	OW3	OW4
FEX_0000001	0.00	2.00	3.00	1.00	0.00	0.00	0.00	0.00
FEX_0000002	11.00	0.00	1.00	13.00	11.00	7.00	0.00	2.00
FEX_0000003	1.74	4.83	0.00	3.95	0.00	1.00	1.00	0.00
FEX_0000004	25.00	38.00	9.00	4.00	8.00	0.00	0.00	0.00
FEX_0000005	2.00	3.00	3.00	4.00	2.00	17.00	0.00	3.00
FEX_0000006	1.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00
FEX_0000007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000008	1.00	12.00	14.00	5.00	3.00	3.00	1.00	1.00
FEX_0000009	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000010	2.00	4.00	6.00	4.00	10.00	8.00	4.00	8.00
FEX_0000011	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000012	1.00	3.00	4.00	1.00	0.00	0.00	5.00	0.00
FEX_0000013	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00
FEX_0000014	1.00	1.00	4.00	5.00	1.00	1.00	5.00	1.00
FEX_0000015	0.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00
FEX_0000016	0.00	0.00	1.00	1.00	0.00	0.00	2.00	0.00
FEX_0000017	3.00	0.00	0.00	3.00	0.00	1.00	0.00	0.00
FEX_0000018	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000019	0.00	2.00	3.00	1.00	0.00	2.00	0.00	2.00
FEX_0000020	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000021	6.17	3.98	9.40	7.58	1.08	0.00	7.79	3.16
FEX_0000022	0.00	2.00	1.00	1.00	1.00	1.00	0.00	0.00
FEX_0000023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000024	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000025	10.00	20.00	6.00	18.00	0.00	2.00	3.00	0.00
FEX_0000026	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000027	3.00	0.00	3.00	1.00	0.00	0.00	0.00	0.00
FEX_0000028	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00
FEX_0000029	2.00	0.00	1.00	0.00	1.00	2.00	0.00	0.00
FEX_0000030	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000031	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00
FEX_0000032	1.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000033	4.00	3.00	21.00	10.00	0.00	0.00	1.00	1.00
FEX_0000034	78.00	124.00	80.00	121.00	40.00	95.00	33.00	8.00
FEX_0000035	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
FEX_0000036	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000037	53.79	14.98	20.07	26.38	0.00	17.69	0.34	3.60
FEX_0000038	7.00	16.00	37.00	4.00	11.00	1.00	6.00	0.00
FEX_0000039	0.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00
FEX_0000040	1.00	4.00	7.00	3.00	3.00	4.00	1.00	0.00
FEX_0000041	0.00	3.00	2.00	6.00	0.00	4.00	0.00	0.00
FEX_0000042	5.00	14.00	7.00	15.00	11.00	13.00	19.00	5.00
FEX_0000043	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00
FEX_0000044	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000045	0.00	16.00	1.00	0.00	4.00	1.00	3.00	0.00
FEX_0000046	72.00	105.00	147.00	185.00	67.00	55.00	58.00	42.00
FEX_0000047	18.00	30.00	36.00	24.00	2.00	10.00	2.00	3.00
FEX_0000048	0.00	0.00	1.00	1.00	0.00	1.00	0.00	0.00
FEX_0000049	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00
FEX_0000050	22.00	11.00	13.00	22.00	0.00	4.00	2.00	3.00
FEX_0000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000052	30.21	15.00	3.66	2.00	1.00	1.33	3.01	4.00
FEX_0000053	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000054	2.00	1.00	4.00	5.00	0.00	2.00	2.00	0.00
FEX_0000055	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000057	1.00	2.00	1.00	5.00	1.00	9.00	1.00	1.00
FEX_0000058	2.00	2.00	1.00	2.00	3.00	1.00	0.00	3.00
FEX_0000059	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000060	111.00	147.00	82.00	86.99	100.00	131.00	110.00	42.00
FEX_0000061	10.00	17.00	22.00	11.00	3.00	1.00	2.00	1.00
FEX_0000062	2.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00
FEX_0000063	0.00	0.00	0.00	3.00	0.00	1.00	0.00	0.00
FEX_0000064	66.00	148.00	91.00	83.00	21.00	197.00	29.00	1.00
FEX_0000065	1.00	2.00	3.00	0.00	0.00	1.00	0.00	0.00
FEX_0000066	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000067	9.00	19.00	6.00	2.00	0.00	4.00	0.00	1.00
FEX_0000068	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000069	143.00	148.00	37.00	147.00	41.00	81.00	46.00	51.00
FEX_0000070	0.00	0.00	0.00	2.00	0.00	1.00	0.00	0.00
FEX_0000071	0.00	1.00	1.00	0.00	0.00	8.00	2.00	0.00
FEX_0000072	0.00	1.00	0.00	0.00	0.00	1.00	0.00	1.00
FEX_0000073	0.00	0.00	3.00	0.00	4.00	2.00	4.00	1.00
FEX_0000074	0.00	0.00	3.00	0.00	0.00	2.00	0.00	0.00
FEX_0000075	4.00	4.00	1.00	8.00	8.00	4.00	21.00	1.00
FEX_0000076	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
FEX_0000077	8.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00
FEX_0000078	1.00	7.00	6.00	2.00	2.00	5.00	2.00	2.00
FEX_0000079	3.00	1.00	5.00	3.00	0.00	0.00	0.00	0.00
FEX_0000080	0.00	1.00	0.99	0.00	0.00	0.00	0.00	1.07
FEX_0000081	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000082	0.00	0.00	9.00	0.00	0.00	0.00	0.00	0.00
FEX_0000083	20.24	10.35	23.61	29.39	35.08	52.46	86.46	51.87
FEX_0000084	100.26	52.70	18.61	26.83	5.71	6.69	5.19	0.00
FEX_0000085	490.28	180.03	150.72	181.10	112.71	219.62	18.43	1.00
FEX_0000086	0.00	0.00	1.00	6.00	0.00	0.00	0.00	0.00
FEX_0000087	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000088	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000089	0.00	2.00	0.00	0.00	0.00	0.00	6.00	0.00
FEX_0000090	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000091	417.00	232.00	134.00	226.16	333.00	270.48	492.00	276.00
FEX_0000092	108.00	75.00	60.00	30.00	6.00	6.00	2.00	0.00
FEX_0000093	3.00	1.00	0.00	1.00	0.00	6.00	0.00	0.00
FEX_0000094	3.00	1.00	6.00	1.00	1.00	1.00	0.00	1.00
FEX_0000095	441.00	208.00	126.00	430.00	372.00	477.00	504.00	376.00
FEX_0000096	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000097	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000098	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000099	22.00	31.00	28.00	13.00	8.00	6.00	9.00	4.00
FEX_0000100	1036.00	163.00	1202.00	858.00	690.00	349.00	399.00	207.00
FEX_0000101	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000102	4.00	8.00	13.00	6.00	6.00	12.00	18.00	2.00
FEX_0000103	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000104	557.00	86.00	85.00	463.00	933.00	250.00	352.00	1326.00
FEX_0000105	0.00	0.00	5.00	1.00	1.00	0.00	2.00	2.00
FEX_0000106	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000107	40.00	63.00	87.00	54.00	62.00	50.00	45.00	44.00
FEX_0000108	227.00	357.00	193.00	310.00	91.00	226.00	95.00	32.00
FEX_0000109	216.00	172.00	131.00	169.00	139.00	121.00	132.00	96.00
FEX_0000110	5.00	4.00	1.00	5.00	2.00	6.00	12.00	0.00
FEX_0000111	6.36	3.26	6.68	11.99	0.00	2.03	1.31	0.00
FEX_0000112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000113	1.00	0.00	2.00	1.00	0.00	1.00	1.00	0.00
FEX_0000114	35.00	19.00	7.00	49.00	11.00	48.00	41.00	17.00
FEX_0000115	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
FEX_0000116	3468.00	2.00	10.00	160.00	5.00	27.00	8.00	16.00
FEX_0000117	111.00	103.00	53.00	72.00	143.00	115.00	122.00	122.00
FEX_0000118	0.00	0.00	2.00	0.00	1.06	0.00	0.00	1.19
FEX_0000119	2.00	3.00	18.00	5.00	2.00	1.00	4.00	2.00
FEX_0000120	11.00	6.00	4.00	12.00	0.00	23.00	0.00	0.00
FEX_0000121	44.00	53.00	22.00	20.00	32.00	34.00	19.00	17.00
FEX_0000122	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00
FEX_0000124	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000125	257.00	223.00	181.00	128.00	195.00	154.00	211.00	122.00
FEX_0000126	249.00	309.00	68.00	321.00	88.00	130.00	112.00	77.00
FEX_0000127	15.00	14.00	23.00	94.00	24.00	55.00	87.00	249.00
FEX_0000128	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000129	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000130	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000131	88.98	13.90	21.98	68.37	36.63	61.85	63.51	80.00
FEX_0000132	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
FEX_0000133	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
FEX_0000134	0.00	4.00	3.00	17.00	0.00	0.00	1.00	0.00
FEX_0000135	4.00	6.00	6.00	6.00	0.00	0.00	1.00	1.00
FEX_0000136	2.00	1.00	0.00	5.00	6.00	6.38	3.00	0.00
FEX_0000137	269.52	535.93	428.87	411.15	195.55	212.57	90.81	78.38
FEX_0000138	3.00	1.00	23.00	3.00	0.00	0.00	0.00	0.00
FEX_0000139	113.00	89.00	57.00	71.00	119.00	145.00	167.00	65.00
FEX_0000140	724.00	276.00	285.00	639.00	779.00	961.77	781.00	1702.88
FEX_0000141	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000142	2.00	0.00	2.00	3.00	0.00	0.00	0.00	1.00
FEX_0000143	5.00	0.00	10.00	3.00	4.89	0.00	6.00	3.00
FEX_0000144	11.00	30.79	8.00	12.00	0.00	9.00	2.00	3.00
FEX_0000145	21.00	28.00	42.00	51.00	6.00	21.00	7.00	20.00
FEX_0000146	0.00	0.00	2.00	1.00	2.00	3.00	0.00	1.00
FEX_0000147	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000148	80.60	46.00	116.25	64.00	16.52	20.00	19.00	23.60
FEX_0000149	11.00	25.00	20.00	24.00	18.00	11.00	12.00	2.00
FEX_0000150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000152	129.00	138.00	105.00	87.00	78.00	72.00	119.00	39.00
FEX_0000153	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000154	85.00	200.00	212.00	216.00	99.00	103.00	51.00	46.00
FEX_0000155	0.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00
FEX_0000156	1826.00	1092.00	447.00	696.00	873.00	1170.00	1084.00	1019.00
FEX_0000157	85.00	98.00	99.00	111.00	128.00	136.00	155.00	155.00
FEX_0000158	5.00	0.00	0.00	1.00	0.00	0.00	2.00	1.00
FEX_0000159	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000160	132.00	147.00	107.00	189.00	138.00	132.00	61.00	69.00
FEX_0000161	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000162	5.00	14.00	7.00	21.00	9.00	23.00	17.00	10.00
FEX_0000163	53.00	27.00	51.00	14.00	6.00	14.09	5.00	2.00
FEX_0000164	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000165	57.00	49.00	20.00	38.00	47.00	89.00	70.00	38.00
FEX_0000166	0.00	0.00	2.00	3.00	1.00	2.00	0.00	2.00
FEX_0000167	295.00	1246.00	723.00	698.00	485.00	537.00	296.00	220.00
FEX_0000168	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000169	7.00	18.00	19.00	14.00	5.00	7.00	2.00	9.00
FEX_0000170	1.00	0.00	11.00	0.00	0.00	7.00	3.00	2.00
FEX_0000171	255.00	446.00	1805.00	626.00	176.00	85.18	47.00	49.00
FEX_0000172	314.00	244.00	129.00	214.00	167.00	160.00	270.00	68.00
FEX_0000173	0.00	0.00	2.00	5.00	0.00	0.00	0.00	0.00
FEX_0000174	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000176	0.00	2.00	0.00	2.00	0.00	1.00	3.00	1.00
FEX_0000177	188.00	89.00	32.00	48.00	115.00	68.00	126.00	192.00
FEX_0000178	45.00	47.00	136.00	62.00	27.00	34.00	8.00	10.00
FEX_0000179	18.00	48.00	35.00	21.00	5.00	1.00	2.00	0.00
FEX_0000180	0.00	4.37	0.00	5.88	0.00	0.27	0.00	4.74
FEX_0000181	8.00	2.63	1.00	5.12	0.00	2.73	9.00	5.26
FEX_0000182	0.00	0.00	2.00	2.00	2.00	3.00	3.00	0.00
FEX_0000183	3.00	5.00	1.00	7.00	30.00	26.00	34.00	28.00
FEX_0000184	1.00	5.00	1.00	5.00	0.00	2.00	0.00	0.00
FEX_0000186	1114.86	812.73	3323.16	1157.60	585.78	767.60	331.51	244.18
FEX_0000187	6.00	7.00	25.00	8.00	3.00	5.00	4.00	4.00
FEX_0000188	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
FEX_0000189	699.00	483.00	298.00	399.00	471.00	437.00	436.00	299.00
FEX_0000190	0.00	0.00	2.00	0.00	0.00	2.00	0.00	0.00
FEX_0000191	231.00	179.00	120.00	107.00	183.00	163.00	286.00	151.00
FEX_0000192	22.00	92.00	135.00	136.00	20.00	72.00	51.00	13.00
FEX_0000193	2.00	0.00	2.00	0.00	0.00	0.00	2.00	0.00
FEX_0000194	1362.80	1101.26	1007.25	1227.80	823.09	904.88	615.57	410.06
FEX_0000195	127.00	194.00	125.00	133.00	108.00	143.00	122.00	75.00
FEX_0000196	79.00	6.00	10.00	30.00	34.00	7.00	37.00	18.00
FEX_0000197	662.00	539.00	289.00	354.00	329.00	424.00	225.00	145.00
FEX_0000198	33.00	26.00	21.00	27.00	67.00	1.00	20.00	2.00
FEX_0000199	3.00	15.00	10.00	20.00	2.00	4.00	0.00	0.00
FEX_0000200	12.00	0.00	3.00	2.00	2.00	0.00	0.00	4.00
FEX_0000202	33.00	14.00	60.00	54.00	6.00	122.00	40.00	77.00
FEX_0000203	286.00	664.00	69.00	46.00	0.00	56.00	13.00	0.00
FEX_0000204	1.00	0.00	0.00	0.00	1.00	1.00	1.00	3.00
FEX_0000205	57.00	47.00	46.00	47.00	56.00	135.00	146.00	113.00
FEX_0000206	6.00	2.00	1.00	5.00	0.00	1.00	1.00	0.00
FEX_0000207	0.00	1.00	2.00	8.00	8.00	5.00	0.00	1.00
FEX_0000208	1.43	0.00	3.04	1.70	1.00	3.00	0.00	1.00
FEX_0000209	3.57	0.00	0.00	5.30	0.00	0.00	5.00	1.00
FEX_0000210	6.00	5.00	6.00	2.00	3.00	11.00	13.00	0.00
FEX_0000211	213.00	348.00	240.00	248.00	137.00	156.00	115.00	67.00
FEX_0000212	88.00	97.00	65.00	65.00	77.00	62.00	40.00	33.00
FEX_0000213	10.00	2.00	1.00	6.00	1.00	7.00	3.00	2.00
FEX_0000214	2.00	2.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000215	770.00	965.00	5595.00	5196.00	83.00	229.00	116.00	161.00
FEX_0000216	1.00	0.00	16.00	8.00	0.00	1.00	0.00	0.00
FEX_0000218	1234.00	1280.00	667.00	586.00	1048.00	1591.00	1044.00	955.00
FEX_0000219	7.00	7.00	57.00	9.00	9.00	8.00	7.00	4.00
FEX_0000220	1399.00	2162.00	3558.00	3110.00	2273.00	1766.00	1037.00	1037.00
FEX_0000221	22.00	13.00	13.00	8.00	16.00	28.00	22.00	12.00
FEX_0000222	1.00	6.00	41.06	5.00	0.00	0.00	2.00	0.00
FEX_0000223	112.00	108.00	87.00	66.00	193.00	159.00	115.00	152.00
FEX_0000224	0.00	1.00	4.00	1.00	0.00	0.00	0.00	0.00
FEX_0000225	876.86	664.31	283.68	392.85	338.36	366.22	242.42	213.68
FEX_0000226	411.14	377.69	565.32	484.15	235.64	199.82	135.58	143.32
FEX_0000227	1.00	0.00	8.00	2.00	1.00	0.00	0.00	0.00
FEX_0000228	29.00	23.00	107.49	20.84	16.00	18.00	25.00	39.00
FEX_0000229	23.00	22.00	28.00	37.00	26.00	57.00	15.00	5.00
FEX_0000230	4.00	3.00	14.00	7.00	2.00	11.00	9.00	3.00
FEX_0000231	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000232	129.64	80.71	46.35	75.20	141.19	113.83	114.54	124.53
FEX_0000233	3812.63	2620.09	2561.21	2430.89	3652.50	2843.57	4906.83	5110.02
FEX_0000234	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000235	1125.73	948.20	637.69	920.91	1290.31	1230.60	1308.63	778.45
FEX_0000236	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000237	2.00	0.00	3.00	2.00	0.00	1.00	1.00	0.00
FEX_0000238	41.00	27.00	60.00	61.00	16.00	32.00	31.00	34.00
FEX_0000239	0.00	0.00	115.75	0.00	0.00	0.00	0.00	0.00
FEX_0000240	0.00	0.00	5.00	1.86	0.00	1.00	3.00	1.00
FEX_0000241	1.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00
FEX_0000243	0.00	1.00	0.00	0.00	0.00	3.00	0.00	0.00
FEX_0000244	15.00	24.00	20.04	10.00	7.02	27.02	23.00	13.00
FEX_0000245	0.00	1.00	0.00	2.00	0.00	0.00	0.00	2.00
FEX_0000246	16.40	11.08	5.01	12.00	2.06	7.00	5.02	10.00
FEX_0000247	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000249	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
FEX_0000250	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000251	0.00	0.00	2.00	0.00	0.00	1.00	1.00	1.00
FEX_0000253	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000254	6.00	13.00	17.00	10.00	1.00	1.00	14.00	4.00
FEX_0000255	0.00	0.00	7.00	8.00	1.00	0.00	0.00	0.00
FEX_0000256	0.00	1.00	6.95	1.35	2.00	0.00	3.00	0.00
FEX_0000257	11.71	14.00	19.17	9.00	1.00	1.00	3.00	3.61
FEX_0000258	252.00	229.00	344.00	306.00	63.00	147.00	95.00	29.00
FEX_0000259	0.00	0.00	1.00	3.00	1.00	0.00	1.00	0.00
FEX_0000260	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000261	8.92	5.85	30.41	17.13	4.00	5.35	13.17	5.43
FEX_0000262	2984.82	1723.10	1205.65	2090.34	2096.63	2021.10	1970.99	1476.36
FEX_0000263	246.00	201.00	91.00	317.00	364.00	369.00	362.00	288.00
FEX_0000264	788.00	853.47	1282.43	851.48	786.18	557.99	410.55	354.46
FEX_0000265	564.18	488.53	286.70	426.71	458.82	488.01	403.45	249.68
FEX_0000266	159.00	211.00	287.00	200.00	182.00	204.00	120.00	153.00
FEX_0000267	12.07	17.12	3.03	9.11	13.00	6.03	0.00	3.00
FEX_0000268	385.00	452.00	678.00	271.00	295.00	341.00	232.00	376.00
FEX_0000269	47.00	242.00	183.00	49.29	74.00	81.00	69.00	603.88
FEX_0000270	514.00	496.00	461.82	392.96	459.66	485.91	368.00	212.00
FEX_0000271	7.01	9.01	3.01	13.00	2.00	19.00	11.04	4.00
FEX_0000272	144.46	204.71	247.25	255.69	273.09	390.79	217.00	322.00
FEX_0000273	1018.54	1271.77	3474.78	1607.86	1316.91	1460.21	1021.00	996.02
FEX_0000274	5.24	0.00	6.12	0.00	0.00	0.00	1.00	2.00
FEX_0000276	1140.00	748.00	455.00	544.00	923.00	760.00	887.00	547.00
FEX_0000277	4.00	0.00	3.16	4.04	0.00	1.00	0.00	0.00
FEX_0000278	480.76	461.12	520.79	572.20	300.37	249.24	162.85	153.10
FEX_0000279	102.24	114.74	86.20	167.47	54.63	49.76	37.97	53.90
FEX_0000280	1.00	0.00	0.00	0.00	0.00	1.00	2.01	1.00
FEX_0000281	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000282	1.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000283	0.00	0.00	0.00	0.00	2.00	0.00	1.00	0.00
FEX_0000284	1.00	2.10	0.00	1.00	1.00	2.18	0.00	2.96
FEX_0000286	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000287	1.00	0.00	0.00	0.00	3.00	0.00	1.00	0.00
FEX_0000288	40.15	28.92	37.00	64.69	76.02	53.79	76.91	133.34
FEX_0000289	0.00	3.00	3.00	2.00	0.00	4.00	1.00	0.00
FEX_0000290	1.00	6.03	3.12	3.72	6.19	1.00	10.54	4.17
FEX_0000291	12.10	13.03	14.08	19.32	4.63	15.00	11.32	10.51
FEX_0000293	4.99	4.00	11.08	8.90	2.00	0.00	7.99	3.87
FEX_0000295	5.04	6.00	8.09	13.28	3.79	3.92	7.56	10.32
FEX_0000296	5.00	2.00	4.18	4.10	0.00	2.00	3.00	5.00
FEX_0000297	11.26	2.47	8.05	11.84	0.00	9.03	17.84	13.19
FEX_0000298	3.00	2.70	4.00	8.21	0.00	4.00	6.00	13.71
FEX_0000299	8.00	1.00	0.00	0.00	4.00	1.00	2.00	1.00
FEX_0000300	15.00	7.85	9.26	13.46	17.37	27.73	30.62	24.36
FEX_0000302	20.26	1.87	4.00	25.40	2.50	10.93	7.75	9.92
FEX_0000303	3.00	2.00	6.00	4.03	0.00	2.04	7.00	3.11
FEX_0000304	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000305	3034.83	1507.13	1004.86	2237.68	3829.75	2605.92	4369.82	2329.84
FEX_0000306	2944.17	2890.87	3276.75	2760.32	2696.93	3022.59	1540.18	1684.16
FEX_0000307	3.00	1.00	7.00	12.00	3.00	5.00	0.00	1.00
FEX_0000308	352.33	314.74	486.08	450.68	363.13	403.63	563.78	640.19
FEX_0000309	137.15	44.02	21.04	54.30	63.00	37.05	55.24	15.03
FEX_0000310	922.28	1048.42	541.37	915.73	630.31	826.12	649.49	263.21
FEX_0000311	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000312	142.49	37.06	25.77	47.67	37.45	83.88	31.44	29.82
FEX_0000313	933.00	858.00	1037.00	889.00	992.04	1131.00	645.00	650.00
FEX_0000314	22.00	18.00	256.00	57.00	30.00	17.00	17.00	16.00
FEX_0000315	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000316	62.18	31.55	53.00	48.26	21.53	41.33	48.69	69.95
FEX_0000317	2.00	0.00	2.44	3.37	0.00	1.00	0.00	2.21
FEX_0000319	7.00	1.00	0.00	7.00	1.00	0.00	21.97	0.00
FEX_0000320	24.98	11.78	13.44	17.42	4.00	8.83	11.85	8.86
FEX_0000321	0.00	0.00	1.05	0.00	0.00	1.00	0.97	0.00
FEX_0000322	2.04	0.00	3.30	3.67	0.00	3.54	1.00	0.00
FEX_0000323	190.17	290.72	113.49	368.67	115.05	65.40	108.03	161.53
FEX_0000324	3.00	3.00	4.00	2.62	0.00	0.00	2.02	5.04
FEX_0000325	9.00	0.00	5.00	0.00	0.00	3.00	12.00	9.00
FEX_0000327	306.84	439.59	471.65	442.87	169.49	121.10	151.64	90.29
FEX_0000328	1498.81	1462.53	1142.31	1532.66	1282.11	1473.32	1124.09	817.26
FEX_0000329	871.78	627.56	200.14	614.01	650.38	579.19	836.80	673.39
FEX_0000330	2794.98	1682.10	1087.72	1507.60	2037.17	1619.71	2601.61	1644.19
FEX_0000331	1523.45	1495.48	763.45	1512.98	1389.38	1152.08	1691.93	850.11
FEX_0000332	7.00	33.00	20.00	23.00	12.00	19.00	2.00	2.00
FEX_0000333	9.21	23.07	7.99	7.35	0.00	13.64	7.00	4.67
FEX_0000334	62.79	272.93	102.01	144.65	0.00	16.36	0.00	1.33
FEX_0000335	862.18	443.80	244.97	815.07	2523.63	1018.07	4345.25	2697.16
FEX_0000336	221.49	342.47	158.00	105.20	319.19	300.08	429.50	334.18
FEX_0000337	4138.87	8437.34	32248.33	21921.56	2879.74	3364.56	6135.20	567.93
FEX_0000338	8.00	5.00	1.00	1.00	5.00	15.00	32.00	16.00
FEX_0000339	13.00	4.00	9.00	7.00	8.00	9.00	12.00	11.00
FEX_0000340	15.00	30.00	21.00	18.00	11.00	14.00	6.00	4.00
FEX_0000341	118.00	178.00	89.00	153.00	137.00	133.00	181.00	191.00
FEX_0000342	23.00	5.00	9.02	8.00	4.00	6.03	13.00	5.00
FEX_0000343	0.00	5.13	2.01	5.08	2.02	3.02	3.09	4.33
FEX_0000344	2.00	2.00	2.00	3.11	0.00	0.00	0.00	0.00
FEX_0000345	19.01	14.05	46.31	33.16	12.01	24.13	10.11	6.05
FEX_0000346	41.33	18.65	60.59	49.67	21.99	40.17	62.76	38.95
FEX_0000347	6.15	3.38	2.32	1.85	0.00	4.51	4.00	1.00
FEX_0000349	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000350	2.64	0.00	2.73	1.79	0.00	0.00	0.00	3.19
FEX_0000351	30.16	16.85	63.60	45.45	5.00	19.89	9.33	14.78
FEX_0000352	3.00	3.00	8.15	5.65	0.00	1.92	2.00	0.00
FEX_0000353	4.80	0.00	1.47	1.00	3.00	2.10	2.06	2.00
FEX_0000354	0.58	0.00	2.53	0.00	0.00	0.90	3.94	0.00
FEX_0000355	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000356	0.00	0.00	2.00	4.00	0.00	1.70	3.04	2.00
FEX_0000357	1.20	0.00	3.23	4.01	5.00	1.00	3.28	2.00
FEX_0000358	6.00	1.00	0.00	3.00	0.00	0.00	0.00	0.00
FEX_0000359	0.00	0.00	2.00	1.00	1.00	2.00	0.00	2.00
FEX_0000360	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000361	39.45	24.00	7.48	21.82	4.00	12.00	28.50	7.00
FEX_0000362	0.00	1.00	0.00	7.00	0.00	1.00	1.00	0.00
FEX_0000363	34.00	53.00	100.00	65.00	44.00	54.00	34.00	26.00
FEX_0000364	393.09	348.57	279.36	331.45	238.57	275.57	229.07	281.75
