Gene	OW1	OW2	OW3	OW4	YW2	YW3	YW4	YW5
FEX_0000001	0.00	0.00	0.00	0.00	10.58	0.00	1.38	5.00
FEX_0000002	11.00	7.00	0.00	2.00	24.00	19.00	0.00	0.00
FEX_0000003	0.00	1.00	1.00	0.00	0.00	0.70	2.91	1.00
FEX_0000004	8.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00
FEX_0000005	2.00	17.00	0.00	3.00	0.00	3.00	0.00	0.00
FEX_0000006	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000008	3.00	3.00	1.00	1.00	3.00	0.00	19.00	9.00
FEX_0000009	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00
FEX_0000010	10.00	8.00	4.00	8.00	2.00	1.00	9.00	7.00
FEX_0000011	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000012	0.00	0.00	5.00	0.00	0.00	2.00	1.00	0.00
FEX_0000013	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000014	1.00	1.00	5.00	1.00	0.00	3.00	2.00	0.00
FEX_0000015	0.00	1.00	1.00	0.00	0.00	0.00	1.00	0.00
FEX_0000016	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
FEX_0000017	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000019	0.00	2.00	0.00	2.00	1.00	2.00	0.00	0.00
FEX_0000020	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000021	1.08	0.00	7.79	3.16	11.00	3.09	4.36	3.19
FEX_0000022	1.00	1.00	0.00	0.00	0.00	0.00	1.00	2.00
FEX_0000023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000024	0.00	0.00	0.00	0.00	0.00	0.00	5.00	1.00
FEX_0000025	0.00	2.00	3.00	0.00	6.00	2.00	5.00	2.00
FEX_0000026	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000027	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00
FEX_0000028	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00
FEX_0000029	1.00	2.00	0.00	0.00	2.00	0.00	0.00	2.00
FEX_0000030	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000031	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000032	0.00	0.00	0.00	1.00	1.00	0.00	1.00	0.00
FEX_0000033	0.00	0.00	1.00	1.00	8.00	3.00	3.00	15.00
FEX_0000034	40.00	95.00	33.00	8.00	101.00	35.00	152.00	41.00
FEX_0000035	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000036	0.00	0.00	1.00	0.00	0.00	0.00	0.00	2.00
FEX_0000037	0.00	17.69	0.34	3.60	3.05	3.38	11.68	1.77
FEX_0000038	11.00	1.00	6.00	0.00	3.00	27.00	10.00	6.00
FEX_0000039	1.00	0.00	0.00	1.00	1.00	2.00	0.00	1.00
FEX_0000040	3.00	4.00	1.00	0.00	23.00	7.00	6.00	26.00
FEX_0000041	0.00	4.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000042	11.00	13.00	19.00	5.00	19.00	13.00	15.00	3.00
FEX_0000043	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.13
FEX_0000044	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
FEX_0000045	4.00	1.00	3.00	0.00	0.00	0.00	4.00	0.00
FEX_0000046	67.00	55.00	58.00	42.00	85.00	143.00	100.00	64.00
FEX_0000047	2.00	10.00	2.00	3.00	34.00	11.00	17.00	8.00
FEX_0000048	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0000049	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000050	0.00	4.00	2.00	3.00	0.00	2.00	8.00	2.00
FEX_0000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000052	1.00	1.33	3.01	4.00	8.83	90.81	12.00	37.03
FEX_0000053	0.00	0.00	0.00	0.00	2.00	1.00	0.00	1.00
FEX_0000054	0.00	2.00	2.00	0.00	0.00	1.00	1.00	2.00
FEX_0000055	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00
FEX_0000057	1.00	9.00	1.00	1.00	0.00	1.00	2.00	0.00
FEX_0000058	3.00	1.00	0.00	3.00	2.00	2.00	1.00	0.00
FEX_0000059	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000060	100.00	131.00	110.00	42.00	68.00	92.00	149.00	9.00
FEX_0000061	3.00	1.00	2.00	1.00	13.00	9.00	9.00	7.00
FEX_0000062	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000063	0.00	1.00	0.00	0.00	3.00	5.00	1.00	1.00
FEX_0000064	21.00	197.00	29.00	1.00	23.00	5.00	179.00	29.00
FEX_0000065	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000066	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000067	0.00	4.00	0.00	1.00	2.00	5.00	5.00	0.00
FEX_0000068	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000069	41.00	81.00	46.00	51.00	136.00	58.00	32.00	55.00
FEX_0000070	0.00	1.00	0.00	0.00	6.00	1.00	0.00	3.00
FEX_0000071	0.00	8.00	2.00	0.00	0.00	0.00	1.00	0.00
FEX_0000072	0.00	1.00	0.00	1.00	0.00	0.00	3.00	0.00
FEX_0000073	4.00	2.00	4.00	1.00	0.00	0.00	1.00	1.00
FEX_0000074	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000075	8.00	4.00	21.00	1.00	1.00	0.00	6.00	0.00
FEX_0000076	0.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00
FEX_0000077	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000078	2.00	5.00	2.00	2.00	6.00	1.00	5.00	2.00
FEX_0000079	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
FEX_0000080	0.00	0.00	0.00	1.07	1.02	0.96	0.00	0.00
FEX_0000081	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
FEX_0000082	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00
FEX_0000083	35.08	52.46	86.46	51.87	34.69	46.28	70.72	17.21
FEX_0000084	5.71	6.69	5.19	0.00	0.00	5.06	1.00	0.00
FEX_0000085	112.71	219.62	18.43	1.00	198.94	185.26	143.06	0.00
FEX_0000086	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000087	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000088	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000089	0.00	0.00	6.00	0.00	0.00	0.00	0.00	0.00
FEX_0000090	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000091	333.00	270.48	492.00	276.00	140.00	194.00	362.00	22.00
FEX_0000092	6.00	6.00	2.00	0.00	34.00	22.00	5.00	18.00
FEX_0000093	0.00	6.00	0.00	0.00	0.00	0.00	2.00	0.00
FEX_0000094	1.00	1.00	0.00	1.00	11.00	0.00	4.00	10.00
FEX_0000095	372.00	477.00	504.00	376.00	182.00	195.00	307.00	28.00
FEX_0000096	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000097	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000098	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
FEX_0000099	8.00	6.00	9.00	4.00	22.00	15.00	13.00	1.00
FEX_0000100	690.00	349.00	399.00	207.00	265.00	944.00	1005.00	166.00
FEX_0000101	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000102	6.00	12.00	18.00	2.00	18.00	7.00	8.00	3.00
FEX_0000103	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000104	933.00	250.00	352.00	1326.00	72.00	103.00	178.00	5.00
FEX_0000105	1.00	0.00	2.00	2.00	1.00	0.00	4.00	0.00
FEX_0000106	0.00	0.00	0.00	0.00	0.00	2.00	49.00	0.00
FEX_0000107	62.00	50.00	45.00	44.00	146.00	121.00	175.00	172.00
FEX_0000108	91.00	226.00	95.00	32.00	249.00	80.00	375.00	92.00
FEX_0000109	139.00	121.00	132.00	96.00	165.00	179.00	163.00	48.00
FEX_0000110	2.00	6.00	12.00	0.00	6.00	9.00	2.00	3.00
FEX_0000111	0.00	2.03	1.31	0.00	67.30	6.61	7.94	36.83
FEX_0000112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000113	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000114	11.00	48.00	41.00	17.00	0.00	16.00	15.00	4.00
FEX_0000115	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
FEX_0000116	5.00	27.00	8.00	16.00	0.00	37.00	13.00	0.00
FEX_0000117	143.00	115.00	122.00	122.00	72.00	125.00	157.00	15.00
FEX_0000118	1.06	0.00	0.00	1.19	1.02	0.00	0.00	0.00
FEX_0000119	2.00	1.00	4.00	2.00	10.00	7.00	4.00	27.00
FEX_0000120	0.00	23.00	0.00	0.00	0.00	0.00	10.00	0.00
FEX_0000121	32.00	34.00	19.00	17.00	46.00	40.00	43.00	13.00
FEX_0000122	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000124	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000125	195.00	154.00	211.00	122.00	179.00	231.00	186.00	45.00
FEX_0000126	88.00	130.00	112.00	77.00	293.00	114.00	63.00	116.00
FEX_0000127	24.00	55.00	87.00	249.00	7.00	3.00	16.00	1.00
FEX_0000128	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000129	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
FEX_0000130	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000131	36.63	61.85	63.51	80.00	100.18	136.14	18.67	68.89
FEX_0000132	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00
FEX_0000133	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000134	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00
FEX_0000135	0.00	0.00	1.00	1.00	6.00	1.00	2.00	4.00
FEX_0000136	6.00	6.38	3.00	0.00	0.00	4.00	7.00	1.00
FEX_0000137	195.55	212.57	90.81	78.38	688.15	550.36	447.26	251.17
FEX_0000138	0.00	0.00	0.00	0.00	26.00	4.00	1.00	14.00
FEX_0000139	119.00	145.00	167.00	65.00	83.00	134.00	165.00	22.00
FEX_0000140	779.00	961.77	781.00	1702.88	618.00	799.87	515.70	56.00
FEX_0000141	0.00	0.00	0.00	0.00	2.00	0.00	0.00	1.00
FEX_0000142	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00
FEX_0000143	4.89	0.00	6.00	3.00	3.00	9.00	11.00	2.00
FEX_0000144	0.00	9.00	2.00	3.00	2.00	1.00	13.67	0.00
FEX_0000145	6.00	21.00	7.00	20.00	7.00	32.00	41.00	7.00
FEX_0000146	2.00	3.00	0.00	1.00	1.00	0.00	2.00	0.00
FEX_0000147	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000148	16.52	20.00	19.00	23.60	119.55	74.00	65.00	41.00
FEX_0000149	18.00	11.00	12.00	2.00	62.00	32.00	22.00	28.00
FEX_0000150	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00
FEX_0000152	78.00	72.00	119.00	39.00	97.00	161.00	106.00	27.00
FEX_0000153	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000154	99.00	103.00	51.00	46.00	500.00	282.00	199.00	155.00
FEX_0000155	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000156	873.00	1170.00	1084.00	1019.00	754.00	254.00	1806.00	152.00
FEX_0000157	128.00	136.00	155.00	155.00	214.00	171.00	264.00	63.00
FEX_0000158	0.00	0.00	2.00	1.00	3.00	1.00	0.00	0.00
FEX_0000159	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000160	138.00	132.00	61.00	69.00	281.00	296.00	192.00	86.00
FEX_0000161	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
FEX_0000162	9.00	23.00	17.00	10.00	9.00	23.00	11.00	4.00
FEX_0000163	6.00	14.09	5.00	2.00	20.00	61.00	30.00	39.12
FEX_0000164	0.00	0.00	0.00	0.00	1.01	0.00	0.00	0.00
FEX_0000165	47.00	89.00	70.00	38.00	33.00	79.00	86.00	14.00
FEX_0000166	1.00	2.00	0.00	2.00	7.00	11.00	3.00	1.00
FEX_0000167	485.00	537.00	296.00	220.00	1153.00	563.00	1175.00	399.00
FEX_0000168	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000169	5.00	7.00	2.00	9.00	6.00	6.00	7.00	6.00
FEX_0000170	0.00	7.00	3.00	2.00	2.00	3.00	8.00	7.00
FEX_0000171	176.00	85.18	47.00	49.00	2053.00	675.00	573.41	2284.00
FEX_0000172	167.00	160.00	270.00	68.00	344.00	245.00	301.00	63.00
FEX_0000173	0.00	0.00	0.00	0.00	0.00	5.00	0.00	7.00
FEX_0000174	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
FEX_0000176	0.00	1.00	3.00	1.00	3.00	0.00	0.00	1.00
FEX_0000177	115.00	68.00	126.00	192.00	40.00	74.00	129.00	10.00
FEX_0000178	27.00	34.00	8.00	10.00	131.00	193.00	37.00	220.00
FEX_0000179	5.00	1.00	2.00	0.00	6.00	10.00	5.00	5.00
FEX_0000180	0.00	0.27	0.00	4.74	0.00	0.00	0.00	0.00
FEX_0000181	0.00	2.73	9.00	5.26	0.00	0.00	1.00	0.00
FEX_0000182	2.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00
FEX_0000183	30.00	26.00	34.00	28.00	9.00	5.00	22.00	1.00
FEX_0000184	0.00	2.00	0.00	0.00	5.00	0.00	1.00	2.00
FEX_0000186	585.78	767.60	331.51	244.18	3463.26	1556.90	1488.90	4392.37
FEX_0000187	3.00	5.00	4.00	4.00	21.00	3.00	5.00	16.00
FEX_0000188	1.00	0.00	0.00	0.00	3.00	0.00	3.00	2.00
FEX_0000189	471.00	437.00	436.00	299.00	369.00	516.00	446.00	60.00
FEX_0000190	0.00	2.00	0.00	0.00	0.00	3.00	1.00	3.00
FEX_0000191	183.00	163.00	286.00	151.00	296.00	229.00	154.00	31.00
FEX_0000192	20.00	72.00	51.00	13.00	138.00	144.00	142.00	36.00
FEX_0000193	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
FEX_0000194	823.09	904.88	615.57	410.06	1693.07	1368.06	1260.49	396.09
FEX_0000195	108.00	143.00	122.00	75.00	238.00	122.00	351.00	126.00
FEX_0000196	34.00	7.00	37.00	18.00	4.00	28.00	17.00	7.00
FEX_0000197	329.00	424.00	225.00	145.00	601.00	508.00	468.00	98.00
FEX_0000198	67.00	1.00	20.00	2.00	3.00	5.00	73.00	4.00
FEX_0000199	2.00	4.00	0.00	0.00	20.00	99.00	22.00	26.00
FEX_0000200	2.00	0.00	0.00	4.00	0.00	3.00	0.00	0.00
FEX_0000202	6.00	122.00	40.00	77.00	37.00	91.00	7.00	3.00
FEX_0000203	0.00	56.00	13.00	0.00	3.00	0.00	99.00	2.00
FEX_0000204	1.00	1.00	1.00	3.00	3.00	0.00	2.00	6.00
FEX_0000205	56.00	135.00	146.00	113.00	17.00	37.00	51.00	12.00
FEX_0000206	0.00	1.00	1.00	0.00	0.00	0.00	5.00	1.00
FEX_0000207	8.00	5.00	0.00	1.00	6.00	1.00	6.00	25.00
FEX_0000208	1.00	3.00	0.00	1.00	0.00	1.00	1.60	0.00
FEX_0000209	0.00	0.00	5.00	1.00	1.00	0.00	2.40	0.00
FEX_0000210	3.00	11.00	13.00	0.00	2.00	3.00	3.00	0.00
FEX_0000211	137.00	156.00	115.00	67.00	505.00	167.00	169.00	174.00
FEX_0000212	77.00	62.00	40.00	33.00	99.00	115.00	49.00	24.00
FEX_0000213	1.00	7.00	3.00	2.00	4.00	4.00	5.00	3.00
FEX_0000214	0.00	0.00	1.00	0.00	0.00	0.00	2.00	0.00
FEX_0000215	83.00	229.00	116.00	161.00	199.00	118.00	205.00	18.00
FEX_0000216	0.00	1.00	0.00	0.00	0.00	7.00	1.00	6.00
FEX_0000218	1048.00	1591.00	1044.00	955.00	1431.00	2381.00	1166.00	182.00
FEX_0000219	9.00	8.00	7.00	4.00	65.00	24.00	20.00	43.00
FEX_0000220	2273.00	1766.00	1037.00	1037.00	6471.00	4019.00	1786.00	1811.00
FEX_0000221	16.00	28.00	22.00	12.00	23.00	13.00	12.00	6.00
FEX_0000222	0.00	0.00	2.00	0.00	3.00	5.00	13.01	17.00
FEX_0000223	193.00	159.00	115.00	152.00	234.00	140.00	218.00	137.00
FEX_0000224	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
FEX_0000225	338.36	366.22	242.42	213.68	608.93	515.25	461.51	213.21
FEX_0000226	235.64	199.82	135.58	143.32	1041.07	590.75	474.49	526.79
FEX_0000227	1.00	0.00	0.00	0.00	4.00	0.00	0.00	1.00
FEX_0000228	16.00	18.00	25.00	39.00	103.62	38.00	19.65	87.71
FEX_0000229	26.00	57.00	15.00	5.00	49.00	28.00	18.00	10.00
FEX_0000230	2.00	11.00	9.00	3.00	1.00	14.00	2.00	7.00
FEX_0000231	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000232	141.19	113.83	114.54	124.53	67.73	89.71	101.31	16.79
FEX_0000233	3652.50	2843.57	4906.83	5110.02	3586.58	4094.96	5540.21	2203.81
FEX_0000234	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000235	1290.31	1230.60	1308.63	778.45	1086.92	828.41	1324.31	137.47
FEX_0000236	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
FEX_0000237	0.00	1.00	1.00	0.00	0.00	6.00	2.00	4.00
FEX_0000238	16.00	32.00	31.00	34.00	72.00	70.00	56.00	47.00
FEX_0000239	0.00	0.00	0.00	0.00	549.77	217.92	8.17	1676.92
FEX_0000240	0.00	1.00	3.00	1.00	0.00	1.00	0.00	2.00
FEX_0000241	0.00	0.00	0.00	0.00	2.00	1.00	1.00	0.00
FEX_0000243	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000244	7.02	27.02	23.00	13.00	40.03	37.00	30.20	24.23
FEX_0000245	0.00	0.00	0.00	2.00	8.00	2.00	1.00	8.00
FEX_0000246	2.06	7.00	5.02	10.00	13.36	17.00	7.12	2.00
FEX_0000247	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00
FEX_0000249	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00
FEX_0000250	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000251	0.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
FEX_0000253	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000254	1.00	1.00	14.00	4.00	1.00	12.00	0.00	1.00
FEX_0000255	1.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00
FEX_0000256	2.00	0.00	3.00	0.00	1.00	4.77	2.32	4.53
FEX_0000257	1.00	1.00	3.00	3.61	3.00	4.00	4.00	9.00
FEX_0000258	63.00	147.00	95.00	29.00	178.00	81.00	122.00	13.00
FEX_0000259	1.00	0.00	1.00	0.00	1.00	4.00	1.00	0.00
FEX_0000260	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000261	4.00	5.35	13.17	5.43	0.00	5.53	6.39	11.01
FEX_0000262	2096.63	2021.10	1970.99	1476.36	2519.55	2167.08	1970.61	1045.33
FEX_0000263	364.00	369.00	362.00	288.00	430.00	216.00	480.00	98.00
FEX_0000264	786.18	557.99	410.55	354.46	2269.89	1265.05	444.23	821.79
FEX_0000265	458.82	488.01	403.45	249.68	580.31	487.69	545.07	143.34
FEX_0000266	182.00	204.00	120.00	153.00	598.00	241.00	280.00	496.00
FEX_0000267	13.00	6.03	0.00	3.00	34.16	10.01	4.01	15.30
FEX_0000268	295.00	341.00	232.00	376.00	605.00	531.00	291.00	265.00
FEX_0000269	74.00	81.00	69.00	603.88	138.00	85.97	125.14	75.38
FEX_0000270	459.66	485.91	368.00	212.00	706.95	522.77	546.00	153.00
FEX_0000271	2.00	19.00	11.04	4.00	26.01	11.00	13.02	13.00
FEX_0000272	273.09	390.79	217.00	322.00	1847.74	1049.94	989.48	1578.84
FEX_0000273	1316.91	1460.21	1021.00	996.02	5675.36	3747.06	2719.55	5722.13
FEX_0000274	0.00	0.00	1.00	2.00	0.00	2.00	2.00	2.00
FEX_0000276	923.00	760.00	887.00	547.00	573.00	885.00	1222.00	163.00
FEX_0000277	0.00	1.00	0.00	0.00	3.00	0.00	0.00	1.00
FEX_0000278	300.37	249.24	162.85	153.10	1531.40	525.71	617.32	732.48
FEX_0000279	54.63	49.76	37.97	53.90	64.59	50.28	77.68	22.27
FEX_0000280	0.00	1.00	2.01	1.00	0.00	0.00	0.00	0.00
FEX_0000281	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0000282	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000283	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000284	1.00	2.18	0.00	2.96	0.00	0.00	1.14	1.00
FEX_0000286	0.00	0.00	0.00	1.00	0.00	0.00	0.00	2.00
FEX_0000287	3.00	0.00	1.00	0.00	0.00	0.00	2.00	0.00
FEX_0000288	76.02	53.79	76.91	133.34	81.89	44.12	109.03	39.43
FEX_0000289	0.00	4.00	1.00	0.00	0.00	4.00	3.00	0.00
FEX_0000290	6.19	1.00	10.54	4.17	3.12	1.01	5.32	3.05
FEX_0000291	4.63	15.00	11.32	10.51	8.01	10.40	7.21	14.31
FEX_0000293	2.00	0.00	7.99	3.87	2.05	5.00	7.92	11.00
FEX_0000295	3.79	3.92	7.56	10.32	0.00	4.00	3.07	8.00
FEX_0000296	0.00	2.00	3.00	5.00	1.00	4.00	1.00	1.00
FEX_0000297	0.00	9.03	17.84	13.19	1.01	8.07	8.43	14.08
FEX_0000298	0.00	4.00	6.00	13.71	2.00	0.00	2.00	1.00
FEX_0000299	4.00	1.00	2.00	1.00	2.00	0.00	2.00	0.00
FEX_0000300	17.37	27.73	30.62	24.36	4.00	13.32	8.45	8.00
FEX_0000302	2.50	10.93	7.75	9.92	2.00	6.00	3.00	0.00
FEX_0000303	0.00	2.04	7.00	3.11	1.00	7.00	2.00	0.00
FEX_0000304	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000305	3829.75	2605.92	4369.82	2329.84	1628.81	3373.42	2888.58	295.07
FEX_0000306	2696.93	3022.59	1540.18	1684.16	7507.19	4434.28	3453.99	6779.41
FEX_0000307	3.00	5.00	0.00	1.00	1.00	8.00	7.00	1.00
FEX_0000308	363.13	403.63	563.78	640.19	481.53	463.39	538.81	204.01
FEX_0000309	63.00	37.05	55.24	15.03	2.00	16.07	18.06	2.00
FEX_0000310	630.31	826.12	649.49	263.21	1242.66	1112.86	1162.69	175.36
FEX_0000311	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000312	37.45	83.88	31.44	29.82	57.90	131.42	157.80	22.60
FEX_0000313	992.04	1131.00	645.00	650.00	2450.00	2050.00	1731.00	1778.00
FEX_0000314	30.00	17.00	17.00	16.00	598.00	150.00	97.00	765.00
FEX_0000315	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000316	21.53	41.33	48.69	69.95	2.00	40.08	23.76	14.29
FEX_0000317	0.00	1.00	0.00	2.21	0.00	0.00	2.69	2.00
FEX_0000319	1.00	0.00	21.97	0.00	1.21	4.00	5.42	0.00
FEX_0000320	4.00	8.83	11.85	8.86	4.39	3.25	5.88	7.63
FEX_0000321	0.00	1.00	0.97	0.00	0.00	0.00	1.00	0.00
FEX_0000322	0.00	3.54	1.00	0.00	0.00	1.06	1.06	0.00
FEX_0000323	115.05	65.40	108.03	161.53	721.44	290.49	130.12	97.01
FEX_0000324	0.00	0.00	2.02	5.04	3.00	5.00	3.00	0.00
FEX_0000325	0.00	3.00	12.00	9.00	0.00	10.00	6.00	0.00
FEX_0000327	169.49	121.10	151.64	90.29	1412.57	627.63	404.73	507.87
FEX_0000328	1282.11	1473.32	1124.09	817.26	3728.98	2670.92	2004.25	1265.36
FEX_0000329	650.38	579.19	836.80	673.39	526.41	631.22	632.63	113.26
FEX_0000330	2037.17	1619.71	2601.61	1644.19	1444.41	1472.10	2367.32	240.91
FEX_0000331	1389.38	1152.08	1691.93	850.11	1614.82	1137.73	1073.79	220.62
FEX_0000332	12.00	19.00	2.00	2.00	18.00	14.00	11.00	2.00
FEX_0000333	0.00	13.64	7.00	4.67	0.00	3.15	8.34	0.00
FEX_0000334	0.00	16.36	0.00	1.33	0.00	2.85	65.66	1.00
FEX_0000335	2523.63	1018.07	4345.25	2697.16	1335.71	1194.02	1256.12	213.87
FEX_0000336	319.19	300.08	429.50	334.18	936.10	251.87	608.95	352.79
FEX_0000337	2879.74	3364.56	6135.20	567.93	1513.09	9047.67	7975.78	392.98
FEX_0000338	5.00	15.00	32.00	16.00	0.00	0.00	10.00	1.00
FEX_0000339	8.00	9.00	12.00	11.00	2.00	10.00	7.00	2.00
FEX_0000340	11.00	14.00	6.00	4.00	5.00	8.00	11.00	0.00
FEX_0000341	137.00	133.00	181.00	191.00	79.00	107.00	104.00	18.00
FEX_0000342	4.00	6.03	13.00	5.00	3.03	5.00	8.00	3.00
FEX_0000343	2.02	3.02	3.09	4.33	1.00	4.02	0.00	4.09
FEX_0000344	0.00	0.00	0.00	0.00	0.00	0.00	1.00	4.01
FEX_0000345	12.01	24.13	10.11	6.05	3.00	23.04	6.04	18.00
FEX_0000346	21.99	40.17	62.76	38.95	7.98	35.95	48.26	18.87
FEX_0000347	0.00	4.51	4.00	1.00	0.00	2.00	2.72	0.00
FEX_0000349	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000350	0.00	0.00	0.00	3.19	1.00	0.00	0.00	0.00
FEX_0000351	5.00	19.89	9.33	14.78	0.98	23.43	20.51	14.64
FEX_0000352	0.00	1.92	2.00	0.00	1.00	5.00	1.02	3.00
FEX_0000353	3.00	2.10	2.06	2.00	0.00	1.68	1.43	0.00
FEX_0000354	0.00	0.90	3.94	0.00	0.00	4.10	0.95	0.00
FEX_0000355	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
FEX_0000356	0.00	1.70	3.04	2.00	0.00	1.00	0.00	0.00
FEX_0000357	5.00	1.00	3.28	2.00	3.00	1.04	1.02	3.03
FEX_0000358	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00
FEX_0000359	1.00	2.00	0.00	2.00	0.00	3.00	0.00	0.77
FEX_0000360	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000361	4.00	12.00	28.50	7.00	14.29	13.56	29.19	8.58
FEX_0000362	0.00	1.00	1.00	0.00	4.00	0.00	1.00	1.00
FEX_0000363	44.00	54.00	34.00	26.00	206.00	135.00	147.00	331.00
