Gene	OQ1	OQ2	OQ3	OQ4	YQ1	YQ2	YQ3	YQ4
FEX_0000001	0.00	2.00	3.00	1.00	1.00	9.00	0.00	3.00
FEX_0000002	11.00	0.00	1.00	13.00	0.00	10.00	1.00	8.00
FEX_0000003	1.74	4.83	0.00	3.95	0.00	1.00	0.00	0.00
FEX_0000004	25.00	38.00	9.00	4.00	0.00	16.05	2.00	6.00
FEX_0000005	2.00	3.00	3.00	4.00	0.00	2.00	0.00	2.00
FEX_0000006	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000008	1.00	12.00	14.00	5.00	12.00	9.00	1.00	4.00
FEX_0000009	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000010	2.00	4.00	6.00	4.00	5.00	0.00	0.00	2.00
FEX_0000011	0.00	0.00	1.00	0.00	0.00	1.36	3.59	9.00
FEX_0000012	1.00	3.00	4.00	1.00	0.00	1.00	7.00	0.00
FEX_0000013	0.00	0.00	4.00	0.00	0.00	0.00	1.00	2.00
FEX_0000014	1.00	1.00	4.00	5.00	2.00	4.00	2.00	0.00
FEX_0000015	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000016	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00
FEX_0000017	3.00	0.00	0.00	3.00	0.00	0.00	0.00	1.00
FEX_0000018	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000019	0.00	2.00	3.00	1.00	0.00	0.00	1.00	0.00
FEX_0000020	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
FEX_0000021	6.17	3.98	9.40	7.58	5.13	22.69	6.33	20.92
FEX_0000022	0.00	2.00	1.00	1.00	0.00	1.00	1.00	0.00
FEX_0000023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000024	0.00	0.00	0.00	0.00	1.00	2.00	0.00	1.00
FEX_0000025	10.00	20.00	6.00	18.00	3.00	1.00	1.00	1.00
FEX_0000026	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000027	3.00	0.00	3.00	1.00	0.00	0.00	0.00	2.00
FEX_0000028	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0000029	2.00	0.00	1.00	0.00	1.00	7.00	0.00	2.00
FEX_0000030	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000031	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000032	1.00	1.00	0.00	0.00	0.00	1.00	2.00	6.06
FEX_0000033	4.00	3.00	21.00	10.00	5.00	6.00	3.00	11.00
FEX_0000034	78.00	124.00	80.00	121.00	51.00	72.00	45.00	72.00
FEX_0000035	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
FEX_0000036	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000037	53.79	14.98	20.07	26.38	1.65	4.81	19.40	1.78
FEX_0000038	7.00	16.00	37.00	4.00	17.00	47.00	9.00	14.00
FEX_0000039	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000040	1.00	4.00	7.00	3.00	6.00	11.00	3.00	8.00
FEX_0000041	0.00	3.00	2.00	6.00	2.00	1.00	0.00	1.00
FEX_0000042	5.00	14.00	7.00	15.00	6.00	17.00	8.00	24.00
FEX_0000043	0.00	0.00	0.10	0.00	0.00	1.22	0.00	0.00
FEX_0000044	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000045	0.00	16.00	1.00	0.00	5.00	0.00	0.00	8.00
FEX_0000046	72.00	105.00	147.00	185.00	84.00	142.00	37.00	94.00
FEX_0000047	18.00	30.00	36.00	24.00	21.00	31.00	9.00	31.00
FEX_0000048	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00
FEX_0000049	0.00	0.00	1.00	1.00	0.00	1.00	0.00	0.00
FEX_0000050	22.00	11.00	13.00	22.00	0.00	2.00	4.00	0.00
FEX_0000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000052	30.21	15.00	3.66	2.00	69.58	60.17	33.49	21.46
FEX_0000053	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00
FEX_0000054	2.00	1.00	4.00	5.00	2.00	1.00	13.00	0.00
FEX_0000055	0.00	0.00	0.00	0.00	0.00	1.63	0.00	0.00
FEX_0000057	1.00	2.00	1.00	5.00	0.00	0.00	0.00	0.00
FEX_0000058	2.00	2.00	1.00	2.00	4.00	1.00	1.00	1.00
FEX_0000059	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000060	111.00	147.00	82.00	86.99	112.00	86.00	111.00	78.00
FEX_0000061	10.00	17.00	22.00	11.00	38.00	37.00	10.00	33.00
FEX_0000062	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000063	0.00	0.00	0.00	3.00	1.00	0.00	1.00	0.00
FEX_0000064	66.00	148.00	91.00	83.00	1.00	9.00	2.00	20.00
FEX_0000065	1.00	2.00	3.00	0.00	3.00	0.00	0.00	2.00
FEX_0000066	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000067	9.00	19.00	6.00	2.00	1.00	2.00	3.00	3.00
FEX_0000068	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000069	143.00	148.00	37.00	147.00	116.00	48.00	52.00	23.00
FEX_0000070	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
FEX_0000071	0.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00
FEX_0000072	0.00	1.00	0.00	0.00	0.00	2.00	0.00	0.00
FEX_0000073	0.00	0.00	3.00	0.00	1.00	3.00	0.00	0.00
FEX_0000074	0.00	0.00	3.00	0.00	0.00	0.00	0.00	1.00
FEX_0000075	4.00	4.00	1.00	8.00	1.00	2.00	0.00	4.00
FEX_0000076	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000077	8.00	2.00	2.00	2.00	0.00	0.00	0.00	2.00
FEX_0000078	1.00	7.00	6.00	2.00	1.00	5.00	1.00	1.00
FEX_0000079	3.00	1.00	5.00	3.00	0.00	0.00	1.00	1.00
FEX_0000080	0.00	1.00	0.99	0.00	1.00	0.00	1.00	0.00
FEX_0000081	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000082	0.00	0.00	9.00	0.00	0.00	3.00	1.00	0.00
FEX_0000083	20.24	10.35	23.61	29.39	40.60	32.76	41.54	22.25
FEX_0000084	100.26	52.70	18.61	26.83	0.00	2.41	1.00	0.00
FEX_0000085	490.28	180.03	150.72	181.10	7.82	90.19	1.57	110.70
FEX_0000086	0.00	0.00	1.00	6.00	0.00	1.00	0.00	1.00
FEX_0000087	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000088	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00
FEX_0000089	0.00	2.00	0.00	0.00	1.00	0.00	0.00	1.00
FEX_0000090	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000091	417.00	232.00	134.00	226.16	291.00	186.00	196.00	246.00
FEX_0000092	108.00	75.00	60.00	30.00	14.00	25.00	19.00	30.00
FEX_0000093	3.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000094	3.00	1.00	6.00	1.00	2.00	13.00	0.00	18.00
FEX_0000095	441.00	208.00	126.00	430.00	121.00	97.00	204.00	165.00
FEX_0000096	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000097	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000098	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000099	22.00	31.00	28.00	13.00	19.00	24.00	15.00	14.00
FEX_0000100	1036.00	163.00	1202.00	858.00	2758.00	5320.00	787.00	5010.00
FEX_0000101	0.00	0.00	1.00	0.00	0.00	2.00	3.00	0.00
FEX_0000102	4.00	8.00	13.00	6.00	8.00	8.00	10.00	10.00
FEX_0000103	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000104	557.00	86.00	85.00	463.00	214.00	73.00	204.00	111.00
FEX_0000105	0.00	0.00	5.00	1.00	1.00	0.00	0.00	1.00
FEX_0000106	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
FEX_0000107	40.00	63.00	87.00	54.00	57.00	106.00	44.00	57.00
FEX_0000108	227.00	357.00	193.00	310.00	144.00	198.00	97.00	160.00
FEX_0000109	216.00	172.00	131.00	169.00	193.00	224.00	168.00	156.00
FEX_0000110	5.00	4.00	1.00	5.00	1.00	3.00	0.00	3.00
FEX_0000111	6.36	3.26	6.68	11.99	2.90	33.84	5.69	12.00
FEX_0000112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00
FEX_0000113	1.00	0.00	2.00	1.00	0.00	0.00	1.00	0.00
FEX_0000114	35.00	19.00	7.00	49.00	19.00	4.00	3.00	5.00
FEX_0000115	0.00	0.00	2.00	0.00	0.00	4.00	0.00	0.00
FEX_0000116	3468.00	2.00	10.00	160.00	3.00	8.00	6.00	24.00
FEX_0000117	111.00	103.00	53.00	72.00	90.00	117.00	107.00	76.00
FEX_0000118	0.00	0.00	2.00	0.00	0.84	0.00	0.00	1.01
FEX_0000119	2.00	3.00	18.00	5.00	3.00	8.00	3.00	3.00
FEX_0000120	11.00	6.00	4.00	12.00	0.00	0.00	3.00	0.00
FEX_0000121	44.00	53.00	22.00	20.00	31.00	53.00	34.00	52.00
FEX_0000122	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00
FEX_0000124	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000125	257.00	223.00	181.00	128.00	212.00	178.00	131.00	206.00
FEX_0000126	249.00	309.00	68.00	321.00	185.00	69.00	98.00	46.00
FEX_0000127	15.00	14.00	23.00	94.00	3.00	6.00	5.00	12.00
FEX_0000128	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000129	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0000130	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000131	88.98	13.90	21.98	68.37	58.83	53.54	90.56	115.27
FEX_0000132	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00
FEX_0000133	0.00	0.00	2.00	0.00	0.00	0.00	1.00	0.00
FEX_0000134	0.00	4.00	3.00	17.00	0.00	1.00	0.00	0.00
FEX_0000135	4.00	6.00	6.00	6.00	3.00	8.00	5.00	2.00
FEX_0000136	2.00	1.00	0.00	5.00	3.00	1.00	0.00	0.00
FEX_0000137	269.52	535.93	428.87	411.15	477.22	680.85	469.98	615.16
FEX_0000138	3.00	1.00	23.00	3.00	1.00	9.00	3.00	9.00
FEX_0000139	113.00	89.00	57.00	71.00	122.00	109.00	84.00	132.00
FEX_0000140	724.00	276.00	285.00	639.00	352.00	309.00	503.00	510.00
FEX_0000141	0.00	0.00	1.00	0.00	0.00	2.00	0.00	1.00
FEX_0000142	2.00	0.00	2.00	3.00	0.00	0.00	0.00	0.00
FEX_0000143	5.00	0.00	10.00	3.00	1.00	5.00	0.00	7.97
FEX_0000144	11.00	30.79	8.00	12.00	0.00	1.00	5.00	1.00
FEX_0000145	21.00	28.00	42.00	51.00	2.00	24.00	8.00	14.00
FEX_0000146	0.00	0.00	2.00	1.00	6.00	2.00	2.00	2.00
FEX_0000147	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000148	80.60	46.00	116.25	64.00	189.25	135.00	133.57	203.53
FEX_0000149	11.00	25.00	20.00	24.00	17.00	38.00	25.00	36.00
FEX_0000150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000152	129.00	138.00	105.00	87.00	193.00	115.00	90.00	140.00
FEX_0000153	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000154	85.00	200.00	212.00	216.00	116.00	240.00	164.00	329.00
FEX_0000155	0.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00
FEX_0000156	1826.00	1092.00	447.00	696.00	532.00	793.00	1232.00	1238.00
FEX_0000157	85.00	98.00	99.00	111.00	184.00	181.00	138.00	172.00
FEX_0000158	5.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
FEX_0000159	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000160	132.00	147.00	107.00	189.00	97.00	173.00	154.00	239.00
FEX_0000161	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000162	5.00	14.00	7.00	21.00	7.00	5.00	10.00	9.00
FEX_0000163	53.00	27.00	51.00	14.00	1141.60	477.13	236.00	372.05
FEX_0000164	0.00	0.00	0.00	0.00	1.00	2.01	5.02	1.02
FEX_0000165	57.00	49.00	20.00	38.00	56.00	58.00	25.00	56.00
FEX_0000166	0.00	0.00	2.00	3.00	3.00	2.00	6.00	4.00
FEX_0000167	295.00	1246.00	723.00	698.00	43.00	1463.00	143.00	655.00
FEX_0000168	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000169	7.00	18.00	19.00	14.00	19.00	23.00	10.00	12.00
FEX_0000170	1.00	0.00	11.00	0.00	11.00	13.00	12.00	12.00
FEX_0000171	255.00	446.00	1805.00	626.00	561.00	1357.19	694.00	1162.00
FEX_0000172	314.00	244.00	129.00	214.00	244.00	420.76	118.00	364.00
FEX_0000173	0.00	0.00	2.00	5.00	0.00	1.00	4.00	5.00
FEX_0000174	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000176	0.00	2.00	0.00	2.00	2.00	3.00	2.00	2.00
FEX_0000177	188.00	89.00	32.00	48.00	116.00	107.00	66.00	76.00
FEX_0000178	45.00	47.00	136.00	62.00	65.00	41.00	36.00	109.00
FEX_0000179	18.00	48.00	35.00	21.00	36.00	118.00	47.00	322.00
FEX_0000180	0.00	4.37	0.00	5.88	0.00	0.00	0.00	0.00
FEX_0000181	8.00	2.63	1.00	5.12	0.00	1.00	0.00	0.00
FEX_0000182	0.00	0.00	2.00	2.00	1.00	0.00	2.00	0.00
FEX_0000183	3.00	5.00	1.00	7.00	6.00	7.00	10.00	4.00
FEX_0000184	1.00	5.00	1.00	5.00	1.00	1.00	1.00	1.00
FEX_0000186	1114.86	812.73	3323.16	1157.60	1083.83	2440.78	1475.92	2160.96
FEX_0000187	6.00	7.00	25.00	8.00	7.00	18.00	8.00	16.00
FEX_0000188	0.00	0.00	0.00	0.00	3.00	1.00	6.00	1.00
FEX_0000189	699.00	483.00	298.00	399.00	549.00	442.00	374.00	510.00
FEX_0000190	0.00	0.00	2.00	0.00	1.00	0.00	2.00	1.00
FEX_0000191	231.00	179.00	120.00	107.00	94.00	150.00	138.00	162.00
FEX_0000192	22.00	92.00	135.00	136.00	100.00	134.00	116.00	130.00
FEX_0000193	2.00	0.00	2.00	0.00	0.00	0.00	0.00	3.00
FEX_0000194	1362.80	1101.26	1007.25	1227.80	1216.96	1830.74	2609.97	1736.01
FEX_0000195	127.00	194.00	125.00	133.00	104.00	159.00	128.00	190.00
FEX_0000196	79.00	6.00	10.00	30.00	6.00	78.00	3.00	5.00
FEX_0000197	662.00	539.00	289.00	354.00	618.00	687.00	453.00	487.00
FEX_0000198	33.00	26.00	21.00	27.00	4.00	13.00	0.00	2.00
FEX_0000199	3.00	15.00	10.00	20.00	273.00	25.00	109.00	381.75
FEX_0000200	12.00	0.00	3.00	2.00	0.00	0.00	0.00	0.00
FEX_0000202	33.00	14.00	60.00	54.00	21.00	29.00	89.00	46.00
FEX_0000203	286.00	664.00	69.00	46.00	0.00	15.00	19.00	0.00
FEX_0000204	1.00	0.00	0.00	0.00	1.00	2.00	1.00	1.00
FEX_0000205	57.00	47.00	46.00	47.00	23.00	23.00	21.00	20.00
FEX_0000206	6.00	2.00	1.00	5.00	0.00	2.00	0.00	0.00
FEX_0000207	0.00	1.00	2.00	8.00	8.00	23.00	3.00	6.00
FEX_0000208	1.43	0.00	3.04	1.70	0.00	2.91	0.00	1.00
FEX_0000209	3.57	0.00	0.00	5.30	0.00	1.15	4.00	0.00
FEX_0000210	6.00	5.00	6.00	2.00	11.00	15.00	7.00	13.00
FEX_0000211	213.00	348.00	240.00	248.00	270.00	316.00	192.00	369.00
FEX_0000212	88.00	97.00	65.00	65.00	69.00	78.00	75.00	90.00
FEX_0000213	10.00	2.00	1.00	6.00	30.00	13.00	8.00	9.00
FEX_0000214	2.00	2.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0000215	770.00	965.00	5595.00	5196.00	22.00	29.00	8.00	11.00
FEX_0000216	1.00	0.00	16.00	8.00	2.00	6.00	1.00	5.00
FEX_0000218	1234.00	1280.00	667.00	586.00	1008.00	867.00	685.00	1231.00
FEX_0000219	7.00	7.00	57.00	9.00	26.00	43.00	15.00	26.00
FEX_0000220	1399.00	2162.00	3558.00	3110.00	1336.00	4646.00	1718.00	4966.00
FEX_0000221	22.00	13.00	13.00	8.00	14.00	16.00	1.00	25.00
FEX_0000222	1.00	6.00	41.06	5.00	2.00	10.00	24.00	5.01
FEX_0000223	112.00	108.00	87.00	66.00	99.00	127.00	115.00	110.00
FEX_0000224	0.00	1.00	4.00	1.00	6.00	5.00	0.00	2.00
FEX_0000225	876.86	664.31	283.68	392.85	1198.28	859.53	542.08	771.73
FEX_0000226	411.14	377.69	565.32	484.15	479.72	785.47	530.92	752.27
FEX_0000227	1.00	0.00	8.00	2.00	1.00	6.00	0.00	4.00
FEX_0000228	29.00	23.00	107.49	20.84	18.27	64.00	11.70	42.70
FEX_0000229	23.00	22.00	28.00	37.00	10.00	22.00	50.00	24.00
FEX_0000230	4.00	3.00	14.00	7.00	2.00	9.00	2.00	5.00
FEX_0000231	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000232	129.64	80.71	46.35	75.20	71.76	51.10	63.83	38.67
FEX_0000233	3812.63	2620.09	2561.21	2430.89	2547.80	3415.20	1748.54	2610.43
FEX_0000234	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000235	1125.73	948.20	637.69	920.91	962.43	880.82	866.63	1111.90
FEX_0000236	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000237	2.00	0.00	3.00	2.00	0.00	0.00	1.00	2.00
FEX_0000238	41.00	27.00	60.00	61.00	30.00	54.00	19.00	33.00
FEX_0000239	0.00	0.00	115.75	0.00	0.00	8.88	0.00	0.00
FEX_0000240	0.00	0.00	5.00	1.86	0.00	1.00	0.00	1.00
FEX_0000241	1.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00
FEX_0000243	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000244	15.00	24.00	20.04	10.00	11.01	40.22	28.00	25.00
FEX_0000245	0.00	1.00	0.00	2.00	2.00	1.00	0.00	4.00
FEX_0000246	16.40	11.08	5.01	12.00	1.01	7.02	0.00	4.30
FEX_0000247	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00
FEX_0000249	0.00	0.00	0.00	2.00	3.00	2.00	0.00	0.00
FEX_0000250	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000251	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
FEX_0000253	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000254	6.00	13.00	17.00	10.00	0.00	0.00	4.00	6.00
FEX_0000255	0.00	0.00	7.00	8.00	0.00	0.00	2.00	0.00
FEX_0000256	0.00	1.00	6.95	1.35	0.00	4.58	2.00	0.49
FEX_0000257	11.71	14.00	19.17	9.00	4.00	3.00	2.00	4.00
FEX_0000258	252.00	229.00	344.00	306.00	87.00	110.00	237.00	123.00
FEX_0000259	0.00	0.00	1.00	3.00	1.00	1.00	0.00	4.00
FEX_0000260	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000261	8.92	5.85	30.41	17.13	1.00	9.34	4.33	11.29
FEX_0000262	2984.82	1723.10	1205.65	2090.34	2165.73	739.64	1115.88	2639.60
FEX_0000263	246.00	201.00	91.00	317.00	272.00	231.00	150.00	328.00
FEX_0000264	788.00	853.47	1282.43	851.48	2730.48	2729.93	848.79	1924.50
FEX_0000265	564.18	488.53	286.70	426.71	638.79	542.58	538.21	463.37
FEX_0000266	159.00	211.00	287.00	200.00	167.00	312.00	131.00	433.00
FEX_0000267	12.07	17.12	3.03	9.11	20.20	11.41	9.12	20.16
FEX_0000268	385.00	452.00	678.00	271.00	571.00	749.00	304.00	462.00
FEX_0000269	47.00	242.00	183.00	49.29	52.49	116.07	386.07	62.00
FEX_0000270	514.00	496.00	461.82	392.96	597.00	693.94	685.90	624.00
FEX_0000271	7.01	9.01	3.01	13.00	3.00	9.00	12.00	5.00
FEX_0000272	144.46	204.71	247.25	255.69	281.42	767.03	458.26	814.94
FEX_0000273	1018.54	1271.77	3474.78	1607.86	2508.58	4522.97	4706.74	4293.29
FEX_0000274	5.24	0.00	6.12	0.00	1.88	3.04	0.00	1.00
FEX_0000276	1140.00	748.00	455.00	544.00	1331.00	954.00	831.00	1123.00
FEX_0000277	4.00	0.00	3.16	4.04	0.00	2.00	1.00	0.00
FEX_0000278	480.76	461.12	520.79	572.20	603.11	1031.02	506.87	713.42
FEX_0000279	102.24	114.74	86.20	167.47	20.79	52.98	17.13	27.56
FEX_0000280	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000281	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
FEX_0000282	1.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000283	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000284	1.00	2.10	0.00	1.00	2.00	3.93	0.00	1.02
FEX_0000286	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000287	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0000288	40.15	28.92	37.00	64.69	35.00	40.82	20.00	28.88
FEX_0000289	0.00	3.00	3.00	2.00	2.00	0.00	0.00	0.00
FEX_0000290	1.00	6.03	3.12	3.72	2.00	0.00	3.00	2.00
FEX_0000291	12.10	13.03	14.08	19.32	12.33	5.01	3.00	10.43
FEX_0000293	4.99	4.00	11.08	8.90	1.00	2.00	1.00	7.02
FEX_0000295	5.04	6.00	8.09	13.28	4.00	2.00	1.00	5.24
FEX_0000296	5.00	2.00	4.18	4.10	1.00	0.00	1.00	0.00
FEX_0000297	11.26	2.47	8.05	11.84	2.01	0.00	5.00	10.94
FEX_0000298	3.00	2.70	4.00	8.21	1.00	0.00	2.00	2.00
FEX_0000299	8.00	1.00	0.00	0.00	2.00	0.00	1.00	1.00
FEX_0000300	15.00	7.85	9.26	13.46	10.46	4.56	4.61	9.47
FEX_0000302	20.26	1.87	4.00	25.40	2.00	0.00	2.00	4.00
FEX_0000303	3.00	2.00	6.00	4.03	2.00	2.00	1.00	4.00
FEX_0000304	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000305	3034.83	1507.13	1004.86	2237.68	1830.00	2185.62	2226.88	1895.25
FEX_0000306	2944.17	2890.87	3276.75	2760.32	2816.98	5926.38	1779.12	3534.44
FEX_0000307	3.00	1.00	7.00	12.00	0.00	2.00	3.00	5.00
FEX_0000308	352.33	314.74	486.08	450.68	433.11	515.77	473.28	451.42
FEX_0000309	137.15	44.02	21.04	54.30	4.01	14.05	18.00	8.03
FEX_0000310	922.28	1048.42	541.37	915.73	851.84	865.53	1116.31	800.50
FEX_0000311	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00
FEX_0000312	142.49	37.06	25.77	47.67	105.77	61.33	128.41	72.44
FEX_0000313	933.00	858.00	1037.00	889.00	747.00	1464.00	575.00	932.00
FEX_0000314	22.00	18.00	256.00	57.00	77.00	272.00	71.00	189.00
FEX_0000315	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
FEX_0000316	62.18	31.55	53.00	48.26	26.33	14.74	21.85	36.05
FEX_0000317	2.00	0.00	2.44	3.37	1.00	0.00	0.00	0.00
FEX_0000319	7.00	1.00	0.00	7.00	2.00	0.00	0.00	3.00
FEX_0000320	24.98	11.78	13.44	17.42	2.59	3.31	4.97	15.51
FEX_0000321	0.00	0.00	1.05	0.00	0.00	0.00	0.00	1.00
FEX_0000322	2.04	0.00	3.30	3.67	2.37	1.24	0.00	2.00
FEX_0000323	190.17	290.72	113.49	368.67	386.15	458.31	275.27	399.51
FEX_0000324	3.00	3.00	4.00	2.62	2.00	0.00	1.00	4.09
FEX_0000325	9.00	0.00	5.00	0.00	3.00	1.00	1.00	13.00
FEX_0000327	306.84	439.59	471.65	442.87	589.71	1095.46	814.70	906.04
FEX_0000328	1498.81	1462.53	1142.31	1532.66	1652.33	2382.61	2014.97	2244.45
FEX_0000329	871.78	627.56	200.14	614.01	224.92	352.42	136.11	226.77
FEX_0000330	2794.98	1682.10	1087.72	1507.60	2136.90	1604.66	1517.32	1842.88
FEX_0000331	1523.45	1495.48	763.45	1512.98	539.94	779.98	920.77	903.25
FEX_0000332	7.00	33.00	20.00	23.00	5.00	11.00	25.00	3.00
FEX_0000333	9.21	23.07	7.99	7.35	0.00	0.00	1.18	0.00
FEX_0000334	62.79	272.93	102.01	144.65	1.00	0.00	2.82	0.00
FEX_0000335	862.18	443.80	244.97	815.07	1697.76	1108.84	972.56	1628.45
FEX_0000336	221.49	342.47	158.00	105.20	416.12	490.86	235.87	554.88
FEX_0000337	4138.87	8437.34	32248.33	21921.56	1383.61	1654.93	3522.81	1917.40
FEX_0000338	8.00	5.00	1.00	1.00	2.00	0.00	2.00	1.00
FEX_0000339	13.00	4.00	9.00	7.00	5.00	5.00	4.00	5.00
FEX_0000340	15.00	30.00	21.00	18.00	3.00	6.00	2.00	4.00
FEX_0000341	118.00	178.00	89.00	153.00	52.00	80.00	93.00	75.00
FEX_0000342	23.00	5.00	9.02	8.00	5.00	3.00	1.19	2.00
FEX_0000343	0.00	5.13	2.01	5.08	0.00	1.01	3.00	4.07
FEX_0000344	2.00	2.00	2.00	3.11	0.00	3.00	2.00	0.00
FEX_0000345	19.01	14.05	46.31	33.16	6.00	6.00	1.00	27.32
FEX_0000346	41.33	18.65	60.59	49.67	17.77	16.94	19.31	32.62
FEX_0000347	6.15	3.38	2.32	1.85	1.82	0.00	0.00	0.98
FEX_0000349	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
FEX_0000350	2.64	0.00	2.73	1.79	0.00	1.64	0.00	0.00
FEX_0000351	30.16	16.85	63.60	45.45	16.56	7.80	9.80	37.13
FEX_0000352	3.00	3.00	8.15	5.65	5.36	1.00	0.00	9.46
FEX_0000353	4.80	0.00	1.47	1.00	0.00	1.00	3.00	1.27
FEX_0000354	0.58	0.00	2.53	0.00	3.00	0.00	0.00	1.73
FEX_0000355	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
FEX_0000356	0.00	0.00	2.00	4.00	0.00	0.00	0.00	1.74
FEX_0000357	1.20	0.00	3.23	4.01	1.07	3.00	3.00	3.20
FEX_0000358	6.00	1.00	0.00	3.00	0.00	0.00	0.00	0.00
FEX_0000359	0.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00
FEX_0000360	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000361	39.45	24.00	7.48	21.82	5.00	5.00	3.12	5.20
FEX_0000362	0.00	1.00	0.00	7.00	0.00	5.00	2.00	2.00
FEX_0000363	34.00	53.00	100.00	65.00	50.00	129.00	66.00	75.00
