Gene	YQ1	YQ2	YQ3	YQ4	YW2	YW3	YW4	YW5
FEX_0000001	1.00	9.00	0.00	3.00	10.58	0.00	1.38	5.00
FEX_0000002	0.00	10.00	1.00	8.00	24.00	19.00	0.00	0.00
FEX_0000003	0.00	1.00	0.00	0.00	0.00	0.70	2.91	1.00
FEX_0000004	0.00	16.05	2.00	6.00	4.00	0.00	0.00	0.00
FEX_0000005	0.00	2.00	0.00	2.00	0.00	3.00	0.00	0.00
FEX_0000006	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000008	12.00	9.00	1.00	4.00	3.00	0.00	19.00	9.00
FEX_0000009	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00
FEX_0000010	5.00	0.00	0.00	2.00	2.00	1.00	9.00	7.00
FEX_0000011	0.00	1.36	3.59	9.00	0.00	0.00	0.00	0.00
FEX_0000012	0.00	1.00	7.00	0.00	0.00	2.00	1.00	0.00
FEX_0000013	0.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00
FEX_0000014	2.00	4.00	2.00	0.00	0.00	3.00	2.00	0.00
FEX_0000015	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000016	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000017	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
FEX_0000018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000019	0.00	0.00	1.00	0.00	1.00	2.00	0.00	0.00
FEX_0000020	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000021	5.13	22.69	6.33	20.92	11.00	3.09	4.36	3.19
FEX_0000022	0.00	1.00	1.00	0.00	0.00	0.00	1.00	2.00
FEX_0000023	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000024	1.00	2.00	0.00	1.00	0.00	0.00	5.00	1.00
FEX_0000025	3.00	1.00	1.00	1.00	6.00	2.00	5.00	2.00
FEX_0000026	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000027	0.00	0.00	0.00	2.00	0.00	1.00	2.00	0.00
FEX_0000028	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000029	1.00	7.00	0.00	2.00	2.00	0.00	0.00	2.00
FEX_0000030	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000031	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000032	0.00	1.00	2.00	6.06	1.00	0.00	1.00	0.00
FEX_0000033	5.00	6.00	3.00	11.00	8.00	3.00	3.00	15.00
FEX_0000034	51.00	72.00	45.00	72.00	101.00	35.00	152.00	41.00
FEX_0000035	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000036	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
FEX_0000037	1.65	4.81	19.40	1.78	3.05	3.38	11.68	1.77
FEX_0000038	17.00	47.00	9.00	14.00	3.00	27.00	10.00	6.00
FEX_0000039	0.00	0.00	0.00	0.00	1.00	2.00	0.00	1.00
FEX_0000040	6.00	11.00	3.00	8.00	23.00	7.00	6.00	26.00
FEX_0000041	2.00	1.00	0.00	1.00	0.00	0.00	1.00	0.00
FEX_0000042	6.00	17.00	8.00	24.00	19.00	13.00	15.00	3.00
FEX_0000043	0.00	1.22	0.00	0.00	0.00	0.00	0.00	1.13
FEX_0000044	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
FEX_0000045	5.00	0.00	0.00	8.00	0.00	0.00	4.00	0.00
FEX_0000046	84.00	142.00	37.00	94.00	85.00	143.00	100.00	64.00
FEX_0000047	21.00	31.00	9.00	31.00	34.00	11.00	17.00	8.00
FEX_0000048	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0000049	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000050	0.00	2.00	4.00	0.00	0.00	2.00	8.00	2.00
FEX_0000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000052	69.58	60.17	33.49	21.46	8.83	90.81	12.00	37.03
FEX_0000053	1.00	1.00	1.00	0.00	2.00	1.00	0.00	1.00
FEX_0000054	2.00	1.00	13.00	0.00	0.00	1.00	1.00	2.00
FEX_0000055	0.00	1.63	0.00	0.00	0.00	0.00	0.60	0.00
FEX_0000057	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00
FEX_0000058	4.00	1.00	1.00	1.00	2.00	2.00	1.00	0.00
FEX_0000059	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000060	112.00	86.00	111.00	78.00	68.00	92.00	149.00	9.00
FEX_0000061	38.00	37.00	10.00	33.00	13.00	9.00	9.00	7.00
FEX_0000062	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000063	1.00	0.00	1.00	0.00	3.00	5.00	1.00	1.00
FEX_0000064	1.00	9.00	2.00	20.00	23.00	5.00	179.00	29.00
FEX_0000065	3.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
FEX_0000066	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000067	1.00	2.00	3.00	3.00	2.00	5.00	5.00	0.00
FEX_0000068	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000069	116.00	48.00	52.00	23.00	136.00	58.00	32.00	55.00
FEX_0000070	0.00	0.00	0.00	0.00	6.00	1.00	0.00	3.00
FEX_0000071	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000072	0.00	2.00	0.00	0.00	0.00	0.00	3.00	0.00
FEX_0000073	1.00	3.00	0.00	0.00	0.00	0.00	1.00	1.00
FEX_0000074	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000075	1.00	2.00	0.00	4.00	1.00	0.00	6.00	0.00
FEX_0000076	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
FEX_0000077	0.00	0.00	0.00	2.00	0.00	0.00	1.00	0.00
FEX_0000078	1.00	5.00	1.00	1.00	6.00	1.00	5.00	2.00
FEX_0000079	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00
FEX_0000080	1.00	0.00	1.00	0.00	1.02	0.96	0.00	0.00
FEX_0000081	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
FEX_0000082	0.00	3.00	1.00	0.00	0.00	0.00	0.00	4.00
FEX_0000083	40.60	32.76	41.54	22.25	34.69	46.28	70.72	17.21
FEX_0000084	0.00	2.41	1.00	0.00	0.00	5.06	1.00	0.00
FEX_0000085	7.82	90.19	1.57	110.70	198.94	185.26	143.06	0.00
FEX_0000086	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000087	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000088	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000089	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000090	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000091	291.00	186.00	196.00	246.00	140.00	194.00	362.00	22.00
FEX_0000092	14.00	25.00	19.00	30.00	34.00	22.00	5.00	18.00
FEX_0000093	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
FEX_0000094	2.00	13.00	0.00	18.00	11.00	0.00	4.00	10.00
FEX_0000095	121.00	97.00	204.00	165.00	182.00	195.00	307.00	28.00
FEX_0000096	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000097	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000098	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00
FEX_0000099	19.00	24.00	15.00	14.00	22.00	15.00	13.00	1.00
FEX_0000100	2758.00	5320.00	787.00	5010.00	265.00	944.00	1005.00	166.00
FEX_0000101	0.00	2.00	3.00	0.00	0.00	0.00	0.00	0.00
FEX_0000102	8.00	8.00	10.00	10.00	18.00	7.00	8.00	3.00
FEX_0000103	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000104	214.00	73.00	204.00	111.00	72.00	103.00	178.00	5.00
FEX_0000105	1.00	0.00	0.00	1.00	1.00	0.00	4.00	0.00
FEX_0000106	0.00	0.00	2.00	0.00	0.00	2.00	49.00	0.00
FEX_0000107	57.00	106.00	44.00	57.00	146.00	121.00	175.00	172.00
FEX_0000108	144.00	198.00	97.00	160.00	249.00	80.00	375.00	92.00
FEX_0000109	193.00	224.00	168.00	156.00	165.00	179.00	163.00	48.00
FEX_0000110	1.00	3.00	0.00	3.00	6.00	9.00	2.00	3.00
FEX_0000111	2.90	33.84	5.69	12.00	67.30	6.61	7.94	36.83
FEX_0000112	0.00	0.00	0.00	5.00	0.00	0.00	0.00	1.00
FEX_0000113	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000114	19.00	4.00	3.00	5.00	0.00	16.00	15.00	4.00
FEX_0000115	0.00	4.00	0.00	0.00	0.00	1.00	1.00	0.00
FEX_0000116	3.00	8.00	6.00	24.00	0.00	37.00	13.00	0.00
FEX_0000117	90.00	117.00	107.00	76.00	72.00	125.00	157.00	15.00
FEX_0000118	0.84	0.00	0.00	1.01	1.02	0.00	0.00	0.00
FEX_0000119	3.00	8.00	3.00	3.00	10.00	7.00	4.00	27.00
FEX_0000120	0.00	0.00	3.00	0.00	0.00	0.00	10.00	0.00
FEX_0000121	31.00	53.00	34.00	52.00	46.00	40.00	43.00	13.00
FEX_0000122	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000124	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000125	212.00	178.00	131.00	206.00	179.00	231.00	186.00	45.00
FEX_0000126	185.00	69.00	98.00	46.00	293.00	114.00	63.00	116.00
FEX_0000127	3.00	6.00	5.00	12.00	7.00	3.00	16.00	1.00
FEX_0000128	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000129	0.00	1.00	0.00	0.00	2.00	0.00	0.00	0.00
FEX_0000130	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000131	58.83	53.54	90.56	115.27	100.18	136.14	18.67	68.89
FEX_0000132	0.00	0.00	0.00	3.00	2.00	0.00	0.00	0.00
FEX_0000133	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0000134	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0000135	3.00	8.00	5.00	2.00	6.00	1.00	2.00	4.00
FEX_0000136	3.00	1.00	0.00	0.00	0.00	4.00	7.00	1.00
FEX_0000137	477.22	680.85	469.98	615.16	688.15	550.36	447.26	251.17
FEX_0000138	1.00	9.00	3.00	9.00	26.00	4.00	1.00	14.00
FEX_0000139	122.00	109.00	84.00	132.00	83.00	134.00	165.00	22.00
FEX_0000140	352.00	309.00	503.00	510.00	618.00	799.87	515.70	56.00
FEX_0000141	0.00	2.00	0.00	1.00	2.00	0.00	0.00	1.00
FEX_0000142	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0000143	1.00	5.00	0.00	7.97	3.00	9.00	11.00	2.00
FEX_0000144	0.00	1.00	5.00	1.00	2.00	1.00	13.67	0.00
FEX_0000145	2.00	24.00	8.00	14.00	7.00	32.00	41.00	7.00
FEX_0000146	6.00	2.00	2.00	2.00	1.00	0.00	2.00	0.00
FEX_0000147	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000148	189.25	135.00	133.57	203.53	119.55	74.00	65.00	41.00
FEX_0000149	17.00	38.00	25.00	36.00	62.00	32.00	22.00	28.00
FEX_0000150	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00
FEX_0000152	193.00	115.00	90.00	140.00	97.00	161.00	106.00	27.00
FEX_0000153	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000154	116.00	240.00	164.00	329.00	500.00	282.00	199.00	155.00
FEX_0000155	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000156	532.00	793.00	1232.00	1238.00	754.00	254.00	1806.00	152.00
FEX_0000157	184.00	181.00	138.00	172.00	214.00	171.00	264.00	63.00
FEX_0000158	0.00	0.00	0.00	1.00	3.00	1.00	0.00	0.00
FEX_0000159	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000160	97.00	173.00	154.00	239.00	281.00	296.00	192.00	86.00
FEX_0000161	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
FEX_0000162	7.00	5.00	10.00	9.00	9.00	23.00	11.00	4.00
FEX_0000163	1141.60	477.13	236.00	372.05	20.00	61.00	30.00	39.12
FEX_0000164	1.00	2.01	5.02	1.02	1.01	0.00	0.00	0.00
FEX_0000165	56.00	58.00	25.00	56.00	33.00	79.00	86.00	14.00
FEX_0000166	3.00	2.00	6.00	4.00	7.00	11.00	3.00	1.00
FEX_0000167	43.00	1463.00	143.00	655.00	1153.00	563.00	1175.00	399.00
FEX_0000168	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000169	19.00	23.00	10.00	12.00	6.00	6.00	7.00	6.00
FEX_0000170	11.00	13.00	12.00	12.00	2.00	3.00	8.00	7.00
FEX_0000171	561.00	1357.19	694.00	1162.00	2053.00	675.00	573.41	2284.00
FEX_0000172	244.00	420.76	118.00	364.00	344.00	245.00	301.00	63.00
FEX_0000173	0.00	1.00	4.00	5.00	0.00	5.00	0.00	7.00
FEX_0000174	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
FEX_0000176	2.00	3.00	2.00	2.00	3.00	0.00	0.00	1.00
FEX_0000177	116.00	107.00	66.00	76.00	40.00	74.00	129.00	10.00
FEX_0000178	65.00	41.00	36.00	109.00	131.00	193.00	37.00	220.00
FEX_0000179	36.00	118.00	47.00	322.00	6.00	10.00	5.00	5.00
FEX_0000180	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000181	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000182	1.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
FEX_0000183	6.00	7.00	10.00	4.00	9.00	5.00	22.00	1.00
FEX_0000184	1.00	1.00	1.00	1.00	5.00	0.00	1.00	2.00
FEX_0000186	1083.83	2440.78	1475.92	2160.96	3463.26	1556.90	1488.90	4392.37
FEX_0000187	7.00	18.00	8.00	16.00	21.00	3.00	5.00	16.00
FEX_0000188	3.00	1.00	6.00	1.00	3.00	0.00	3.00	2.00
FEX_0000189	549.00	442.00	374.00	510.00	369.00	516.00	446.00	60.00
FEX_0000190	1.00	0.00	2.00	1.00	0.00	3.00	1.00	3.00
FEX_0000191	94.00	150.00	138.00	162.00	296.00	229.00	154.00	31.00
FEX_0000192	100.00	134.00	116.00	130.00	138.00	144.00	142.00	36.00
FEX_0000193	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00
FEX_0000194	1216.96	1830.74	2609.97	1736.01	1693.07	1368.06	1260.49	396.09
FEX_0000195	104.00	159.00	128.00	190.00	238.00	122.00	351.00	126.00
FEX_0000196	6.00	78.00	3.00	5.00	4.00	28.00	17.00	7.00
FEX_0000197	618.00	687.00	453.00	487.00	601.00	508.00	468.00	98.00
FEX_0000198	4.00	13.00	0.00	2.00	3.00	5.00	73.00	4.00
FEX_0000199	273.00	25.00	109.00	381.75	20.00	99.00	22.00	26.00
FEX_0000200	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00
FEX_0000202	21.00	29.00	89.00	46.00	37.00	91.00	7.00	3.00
FEX_0000203	0.00	15.00	19.00	0.00	3.00	0.00	99.00	2.00
FEX_0000204	1.00	2.00	1.00	1.00	3.00	0.00	2.00	6.00
FEX_0000205	23.00	23.00	21.00	20.00	17.00	37.00	51.00	12.00
FEX_0000206	0.00	2.00	0.00	0.00	0.00	0.00	5.00	1.00
FEX_0000207	8.00	23.00	3.00	6.00	6.00	1.00	6.00	25.00
FEX_0000208	0.00	2.91	0.00	1.00	0.00	1.00	1.60	0.00
FEX_0000209	0.00	1.15	4.00	0.00	1.00	0.00	2.40	0.00
FEX_0000210	11.00	15.00	7.00	13.00	2.00	3.00	3.00	0.00
FEX_0000211	270.00	316.00	192.00	369.00	505.00	167.00	169.00	174.00
FEX_0000212	69.00	78.00	75.00	90.00	99.00	115.00	49.00	24.00
FEX_0000213	30.00	13.00	8.00	9.00	4.00	4.00	5.00	3.00
FEX_0000214	0.00	1.00	0.00	0.00	0.00	0.00	2.00	0.00
FEX_0000215	22.00	29.00	8.00	11.00	199.00	118.00	205.00	18.00
FEX_0000216	2.00	6.00	1.00	5.00	0.00	7.00	1.00	6.00
FEX_0000218	1008.00	867.00	685.00	1231.00	1431.00	2381.00	1166.00	182.00
FEX_0000219	26.00	43.00	15.00	26.00	65.00	24.00	20.00	43.00
FEX_0000220	1336.00	4646.00	1718.00	4966.00	6471.00	4019.00	1786.00	1811.00
FEX_0000221	14.00	16.00	1.00	25.00	23.00	13.00	12.00	6.00
FEX_0000222	2.00	10.00	24.00	5.01	3.00	5.00	13.01	17.00
FEX_0000223	99.00	127.00	115.00	110.00	234.00	140.00	218.00	137.00
FEX_0000224	6.00	5.00	0.00	2.00	0.00	0.00	1.00	1.00
FEX_0000225	1198.28	859.53	542.08	771.73	608.93	515.25	461.51	213.21
FEX_0000226	479.72	785.47	530.92	752.27	1041.07	590.75	474.49	526.79
FEX_0000227	1.00	6.00	0.00	4.00	4.00	0.00	0.00	1.00
FEX_0000228	18.27	64.00	11.70	42.70	103.62	38.00	19.65	87.71
FEX_0000229	10.00	22.00	50.00	24.00	49.00	28.00	18.00	10.00
FEX_0000230	2.00	9.00	2.00	5.00	1.00	14.00	2.00	7.00
FEX_0000231	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000232	71.76	51.10	63.83	38.67	67.73	89.71	101.31	16.79
FEX_0000233	2547.80	3415.20	1748.54	2610.43	3586.58	4094.96	5540.21	2203.81
FEX_0000234	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000235	962.43	880.82	866.63	1111.90	1086.92	828.41	1324.31	137.47
FEX_0000236	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
FEX_0000237	0.00	0.00	1.00	2.00	0.00	6.00	2.00	4.00
FEX_0000238	30.00	54.00	19.00	33.00	72.00	70.00	56.00	47.00
FEX_0000239	0.00	8.88	0.00	0.00	549.77	217.92	8.17	1676.92
FEX_0000240	0.00	1.00	0.00	1.00	0.00	1.00	0.00	2.00
FEX_0000241	0.00	0.00	0.00	0.00	2.00	1.00	1.00	0.00
FEX_0000243	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000244	11.01	40.22	28.00	25.00	40.03	37.00	30.20	24.23
FEX_0000245	2.00	1.00	0.00	4.00	8.00	2.00	1.00	8.00
FEX_0000246	1.01	7.02	0.00	4.30	13.36	17.00	7.12	2.00
FEX_0000247	1.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00
FEX_0000249	3.00	2.00	0.00	0.00	0.00	0.00	0.00	5.00
FEX_0000250	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0000251	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000253	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000254	0.00	0.00	4.00	6.00	1.00	12.00	0.00	1.00
FEX_0000255	0.00	0.00	2.00	0.00	0.00	0.00	0.00	3.00
FEX_0000256	0.00	4.58	2.00	0.49	1.00	4.77	2.32	4.53
FEX_0000257	4.00	3.00	2.00	4.00	3.00	4.00	4.00	9.00
FEX_0000258	87.00	110.00	237.00	123.00	178.00	81.00	122.00	13.00
FEX_0000259	1.00	1.00	0.00	4.00	1.00	4.00	1.00	0.00
FEX_0000260	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000261	1.00	9.34	4.33	11.29	0.00	5.53	6.39	11.01
FEX_0000262	2165.73	739.64	1115.88	2639.60	2519.55	2167.08	1970.61	1045.33
FEX_0000263	272.00	231.00	150.00	328.00	430.00	216.00	480.00	98.00
FEX_0000264	2730.48	2729.93	848.79	1924.50	2269.89	1265.05	444.23	821.79
FEX_0000265	638.79	542.58	538.21	463.37	580.31	487.69	545.07	143.34
FEX_0000266	167.00	312.00	131.00	433.00	598.00	241.00	280.00	496.00
FEX_0000267	20.20	11.41	9.12	20.16	34.16	10.01	4.01	15.30
FEX_0000268	571.00	749.00	304.00	462.00	605.00	531.00	291.00	265.00
FEX_0000269	52.49	116.07	386.07	62.00	138.00	85.97	125.14	75.38
FEX_0000270	597.00	693.94	685.90	624.00	706.95	522.77	546.00	153.00
FEX_0000271	3.00	9.00	12.00	5.00	26.01	11.00	13.02	13.00
FEX_0000272	281.42	767.03	458.26	814.94	1847.74	1049.94	989.48	1578.84
FEX_0000273	2508.58	4522.97	4706.74	4293.29	5675.36	3747.06	2719.55	5722.13
FEX_0000274	1.88	3.04	0.00	1.00	0.00	2.00	2.00	2.00
FEX_0000276	1331.00	954.00	831.00	1123.00	573.00	885.00	1222.00	163.00
FEX_0000277	0.00	2.00	1.00	0.00	3.00	0.00	0.00	1.00
FEX_0000278	603.11	1031.02	506.87	713.42	1531.40	525.71	617.32	732.48
FEX_0000279	20.79	52.98	17.13	27.56	64.59	50.28	77.68	22.27
FEX_0000280	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000281	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00
FEX_0000282	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000283	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000284	2.00	3.93	0.00	1.02	0.00	0.00	1.14	1.00
FEX_0000286	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
FEX_0000287	0.00	1.00	0.00	0.00	0.00	0.00	2.00	0.00
FEX_0000288	35.00	40.82	20.00	28.88	81.89	44.12	109.03	39.43
FEX_0000289	2.00	0.00	0.00	0.00	0.00	4.00	3.00	0.00
FEX_0000290	2.00	0.00	3.00	2.00	3.12	1.01	5.32	3.05
FEX_0000291	12.33	5.01	3.00	10.43	8.01	10.40	7.21	14.31
FEX_0000293	1.00	2.00	1.00	7.02	2.05	5.00	7.92	11.00
FEX_0000295	4.00	2.00	1.00	5.24	0.00	4.00	3.07	8.00
FEX_0000296	1.00	0.00	1.00	0.00	1.00	4.00	1.00	1.00
FEX_0000297	2.01	0.00	5.00	10.94	1.01	8.07	8.43	14.08
FEX_0000298	1.00	0.00	2.00	2.00	2.00	0.00	2.00	1.00
FEX_0000299	2.00	0.00	1.00	1.00	2.00	0.00	2.00	0.00
FEX_0000300	10.46	4.56	4.61	9.47	4.00	13.32	8.45	8.00
FEX_0000302	2.00	0.00	2.00	4.00	2.00	6.00	3.00	0.00
FEX_0000303	2.00	2.00	1.00	4.00	1.00	7.00	2.00	0.00
FEX_0000304	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000305	1830.00	2185.62	2226.88	1895.25	1628.81	3373.42	2888.58	295.07
FEX_0000306	2816.98	5926.38	1779.12	3534.44	7507.19	4434.28	3453.99	6779.41
FEX_0000307	0.00	2.00	3.00	5.00	1.00	8.00	7.00	1.00
FEX_0000308	433.11	515.77	473.28	451.42	481.53	463.39	538.81	204.01
FEX_0000309	4.01	14.05	18.00	8.03	2.00	16.07	18.06	2.00
FEX_0000310	851.84	865.53	1116.31	800.50	1242.66	1112.86	1162.69	175.36
FEX_0000311	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000312	105.77	61.33	128.41	72.44	57.90	131.42	157.80	22.60
FEX_0000313	747.00	1464.00	575.00	932.00	2450.00	2050.00	1731.00	1778.00
FEX_0000314	77.00	272.00	71.00	189.00	598.00	150.00	97.00	765.00
FEX_0000315	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0000316	26.33	14.74	21.85	36.05	2.00	40.08	23.76	14.29
FEX_0000317	1.00	0.00	0.00	0.00	0.00	0.00	2.69	2.00
FEX_0000319	2.00	0.00	0.00	3.00	1.21	4.00	5.42	0.00
FEX_0000320	2.59	3.31	4.97	15.51	4.39	3.25	5.88	7.63
FEX_0000321	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
FEX_0000322	2.37	1.24	0.00	2.00	0.00	1.06	1.06	0.00
FEX_0000323	386.15	458.31	275.27	399.51	721.44	290.49	130.12	97.01
FEX_0000324	2.00	0.00	1.00	4.09	3.00	5.00	3.00	0.00
FEX_0000325	3.00	1.00	1.00	13.00	0.00	10.00	6.00	0.00
FEX_0000327	589.71	1095.46	814.70	906.04	1412.57	627.63	404.73	507.87
FEX_0000328	1652.33	2382.61	2014.97	2244.45	3728.98	2670.92	2004.25	1265.36
FEX_0000329	224.92	352.42	136.11	226.77	526.41	631.22	632.63	113.26
FEX_0000330	2136.90	1604.66	1517.32	1842.88	1444.41	1472.10	2367.32	240.91
FEX_0000331	539.94	779.98	920.77	903.25	1614.82	1137.73	1073.79	220.62
FEX_0000332	5.00	11.00	25.00	3.00	18.00	14.00	11.00	2.00
FEX_0000333	0.00	0.00	1.18	0.00	0.00	3.15	8.34	0.00
FEX_0000334	1.00	0.00	2.82	0.00	0.00	2.85	65.66	1.00
FEX_0000335	1697.76	1108.84	972.56	1628.45	1335.71	1194.02	1256.12	213.87
FEX_0000336	416.12	490.86	235.87	554.88	936.10	251.87	608.95	352.79
FEX_0000337	1383.61	1654.93	3522.81	1917.40	1513.09	9047.67	7975.78	392.98
FEX_0000338	2.00	0.00	2.00	1.00	0.00	0.00	10.00	1.00
FEX_0000339	5.00	5.00	4.00	5.00	2.00	10.00	7.00	2.00
FEX_0000340	3.00	6.00	2.00	4.00	5.00	8.00	11.00	0.00
FEX_0000341	52.00	80.00	93.00	75.00	79.00	107.00	104.00	18.00
FEX_0000342	5.00	3.00	1.19	2.00	3.03	5.00	8.00	3.00
FEX_0000343	0.00	1.01	3.00	4.07	1.00	4.02	0.00	4.09
FEX_0000344	0.00	3.00	2.00	0.00	0.00	0.00	1.00	4.01
FEX_0000345	6.00	6.00	1.00	27.32	3.00	23.04	6.04	18.00
FEX_0000346	17.77	16.94	19.31	32.62	7.98	35.95	48.26	18.87
FEX_0000347	1.82	0.00	0.00	0.98	0.00	2.00	2.72	0.00
FEX_0000349	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0000350	0.00	1.64	0.00	0.00	1.00	0.00	0.00	0.00
FEX_0000351	16.56	7.80	9.80	37.13	0.98	23.43	20.51	14.64
FEX_0000352	5.36	1.00	0.00	9.46	1.00	5.00	1.02	3.00
FEX_0000353	0.00	1.00	3.00	1.27	0.00	1.68	1.43	0.00
FEX_0000354	3.00	0.00	0.00	1.73	0.00	4.10	0.95	0.00
FEX_0000355	0.00	0.00	0.00	2.00	0.00	0.00	1.00	0.00
FEX_0000356	0.00	0.00	0.00	1.74	0.00	1.00	0.00	0.00
FEX_0000357	1.07	3.00	3.00	3.20	3.00	1.04	1.02	3.03
FEX_0000358	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00
FEX_0000359	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.77
FEX_0000360	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
FEX_0000361	5.00	5.00	3.12	5.20	14.29	13.56	29.19	8.58
FEX_0000362	0.00	5.00	2.00	2.00	4.00	0.00	1.00	1.00
FEX_0000363	50.00	129.00	66.00	75.00	206.00	135.00	147.00	331.00
